#CHR	START	END	clone0	clone1
chr5	76713000	120017000	2|2	2|2
chr5	120017000	123148000	4|2	4|2
chr5	123148000	164740000	2|2	2|2
chr5	164740000	168244000	1|2	1|2
chr5	168244000	180915260	2|2	2|2
chr6	0	54536000	2|2	2|3
chr6	54536000	55543000	4|2	4|3
chr6	55543000	67272000	2|2	2|3
chr6	67272000	68294000	2|2	2|5
chr6	68294000	81040000	2|2	2|3
chr6	81040000	82061000	1|2	1|3
chr6	82061000	96851000	2|2	2|3
chr6	96851000	100257000	2|2	2|4
chr6	100257000	108824000	2|2	2|3
chr6	108824000	112305000	2|2	1|3
chr6	112305000	170605000	2|2	2|3
chr6	170605000	171115067	2|2	2|2
chr7	0	893000	2|2	2|2
chr7	893000	37725000	2|2	3|2
chr7	37725000	38741000	2|2	3|1
chr7	38741000	39500000	2|2	3|2
chr7	39500000	43290000	2|2	4|2
chr7	43290000	55972000	2|2	3|2
chr7	55972000	58368000	2|2	1|2
chr7	58368000	69535000	2|2	3|2
chr7	69535000	70488000	2|2	5|2
chr7	70488000	82139000	0|2	0|2
chr7	82139000	84394000	2|2	5|2
chr7	84394000	90085000	2|2	3|2
chr7	90085000	91069000	2|2	5|2
chr7	91069000	97409000	2|2	3|2
chr7	97409000	98414000	2|2	1|2
chr7	98414000	123910000	2|2	3|2
chr7	123910000	124906000	3|2	5|2
chr7	124906000	156906000	2|2	3|2
chr7	156906000	157924000	2|2	3|3
chr7	157924000	159138663	2|2	3|2
chr8	0	21167000	2|2	2|2
chr8	21167000	31187000	1|2	1|2
chr8	31187000	36039000	1|0	1|0
chr8	36039000	45351000	2|0	2|0
chr8	45351000	50516000	2|2	2|2
chr8	50516000	51518000	2|2	2|1
chr8	51518000	54113000	2|2	2|2
chr8	54113000	55100000	2|2	3|2
chr8	55100000	64241000	2|2	2|2
chr8	64241000	65234000	2|2	2|1
chr8	65234000	69838000	2|2	2|2
chr8	69838000	70843000	3|2	3|2
chr8	70843000	88317000	2|2	2|2
chr8	88317000	98530000	2|2	2|3
chr8	98530000	114334000	2|2	2|2
chr8	114334000	128001000	4|2	4|2
chr8	128001000	128988000	4|2	4|3
chr8	128988000	133269000	4|2	4|2
chr8	133269000	146364022	2|2	2|2
chr9	0	24504000	2|0	0|0
chr9	24504000	47338000	0|0	0|0
chr9	47338000	141213431	2|0	0|0
chr10	0	18379000	2|2	0|2
chr10	18379000	20020000	2|2	0|1
chr10	20020000	22924000	2|1	0|1
chr10	22924000	23766000	2|2	0|1
chr10	23766000	24372000	2|2	0|2
chr10	24372000	27630000	4|2	0|2
chr10	27630000	30191000	2|2	0|2
chr10	30191000	43442000	2|2	0|3
chr10	43442000	87842000	2|2	0|2
chr10	87842000	91345000	2|2	0|3
chr10	91345000	97421000	2|2	0|2
chr10	97421000	105334000	2|0	0|0
chr10	105334000	135534747	2|2	0|2
chr11	0	55095000	0|2	0|2
chr11	55095000	56109000	0|4	0|4
chr11	56109000	105961000	0|2	0|2
chr11	105961000	106965000	0|3	0|3
chr11	106965000	135006516	0|2	0|2
chr12	0	7141000	2|4	0|4
chr12	7141000	10969000	0|4	0|4
chr12	10969000	11848000	0|5	0|5
chr12	11848000	14069000	2|5	0|5
chr12	14069000	39760000	2|4	0|4
chr12	39760000	40778000	4|4	0|4
chr12	40778000	45148000	2|4	0|4
chr12	45148000	48326000	2|4	0|5
chr12	48326000	49635000	2|4	0|4
chr12	49635000	52944000	2|0	0|0
chr12	52944000	68090000	2|4	0|4
chr12	68090000	68581000	0|4	0|4
chr12	68581000	69090000	0|2	0|2
chr12	69090000	115551000	2|2	0|2
chr12	115551000	116545000	1|2	0|2
chr12	116545000	133851895	2|2	0|2
chr13	0	13881000	2|2	2|2
chr13	13881000	20562000	2|4	2|4
chr13	20562000	33670000	2|2	2|2
chr13	33670000	44806000	2|2	2|1
chr13	44806000	88760000	2|2	2|2
chr13	88760000	89071000	2|2	2|1
chr13	89071000	89494000	2|2	3|1
chr13	89494000	89750000	4|2	5|1
chr13	89750000	90063000	4|2	5|2
chr13	90063000	90509000	4|2	4|2
chr13	90509000	101641000	2|2	2|2
chr13	101641000	112131000	4|2	4|2
chr13	112131000	115169878	2|2	2|2
chr14	0	53675000	2|2	2|2
chr14	53675000	107349540	2|2	2|1
chr15	0	9142000	2|2	0|2
chr15	9142000	10147000	4|2	0|2
chr15	10147000	11356000	2|2	0|2
chr15	11356000	14310000	2|0	0|0
chr15	14310000	46232000	2|2	0|2
chr15	46232000	49430000	2|3	0|3
chr15	49430000	62632000	2|2	0|2
chr15	62632000	63641000	3|2	0|2
chr15	63641000	72410000	2|2	0|2
chr15	72410000	73414000	2|4	0|4
chr15	73414000	85339000	2|2	0|2
chr15	85339000	88008000	2|4	0|4
chr15	88008000	97375000	2|2	0|2
chr15	97375000	98391000	2|4	0|4
chr15	98391000	102531392	2|2	0|2
chr16	0	4758000	2|2	3|0
chr16	4758000	44707000	2|2	2|0
chr16	44707000	47830000	0|2	0|0
chr16	47830000	54338000	2|2	2|0
chr16	54338000	55334000	2|2	1|0
chr16	55334000	80093000	2|2	2|0
chr16	80093000	81104000	2|0	2|0
chr16	81104000	82682000	2|2	2|0
chr16	82682000	86895000	2|2	3|0
chr16	86895000	88366000	0|2	0|0
chr16	88366000	88520000	0|4	0|0
chr16	88520000	88662000	2|4	3|0
chr16	88662000	89370000	2|4	5|0
chr16	89370000	89662000	2|2	5|0
chr16	89662000	90354753	2|2	3|0
chr17	0	8344000	0|2	0|3
chr17	8344000	9366000	0|3	0|4
chr17	9366000	13582000	0|2	0|3
chr17	13582000	14586000	0|2	0|2
chr17	14586000	64812000	0|2	0|3
chr17	64812000	66876000	0|4	0|6
chr17	66876000	77814000	0|2	0|3
chr17	77814000	80825000	0|4	0|6
chr17	80825000	81186000	0|2	0|3
chr17	81186000	81195210	0|2	0|4
chr18	0	36499000	2|2	2|2
chr18	36499000	50247000	2|2	3|2
chr18	50247000	54138000	2|2	4|2
chr18	54138000	58827000	2|2	3|2
chr18	58827000	70694000	2|2	2|2
chr18	70694000	71705000	2|2	3|2
chr18	71705000	78077248	2|2	2|2
chr20	0	15417000	2|2	2|2
chr20	15417000	17498000	2|2	3|2
chr20	17498000	63025520	2|2	2|2
chr19	0	5365000	2|6	2|6
chr19	5365000	7519000	2|6	2|7
chr19	7519000	29565000	2|6	2|6
chr19	29565000	59128983	2|3	2|3
chr22	0	3608000	2|2	2|2
chr22	3608000	4585000	0|2	0|2
chr22	4585000	51304566	2|2	2|2
chr21	0	1126000	2|2	2|1
chr21	1126000	6712000	2|2	3|1
chr21	6712000	7708000	2|2	3|0
chr21	7708000	21856000	2|2	3|1
chr21	21856000	21881000	2|2	4|1
chr21	21881000	22002000	2|2	3|1
chr21	22002000	23843000	2|2	2|1
chr21	23843000	25992000	2|2	1|1
chr21	25992000	26966000	2|2	2|1
chr21	26966000	27963000	2|2	1|1
chr21	27963000	35027000	2|2	2|1
chr21	35027000	40292000	2|2	3|1
chr21	40292000	46109000	2|2	2|1
chr21	46109000	48129895	2|2	2|2
