#CHR	START	END	clone0	clone1	clone2
chr2	169204000	196083000	2|2	2|2	2|1
chr2	196083000	206053000	2|1	2|1	2|0
chr2	206053000	221290000	2|2	2|2	2|1
chr2	221290000	236275000	2|2	2|2	3|1
chr2	236275000	241480000	2|2	2|2	3|2
chr2	241480000	243199373	2|2	2|2	2|2
chr3	0	4297000	2|2	4|2	2|2
chr3	4297000	7090000	2|3	4|3	2|2
chr3	7090000	15216000	2|3	3|3	2|2
chr3	15216000	23153000	2|6	3|6	2|4
chr3	23153000	27493000	2|3	3|3	2|2
chr3	27493000	41461000	2|6	3|6	2|4
chr3	41461000	44331000	2|6	3|6	2|3
chr3	44331000	45173000	2|6	3|6	2|4
chr3	45173000	45390000	2|3	3|3	2|2
chr3	45390000	46994000	2|5	3|5	2|3
chr3	46994000	48880000	2|5	1|5	2|3
chr3	48880000	49874000	2|5	1|4	2|3
chr3	49874000	50100000	2|5	1|5	2|3
chr3	50100000	53985000	2|5	3|5	2|3
chr3	53985000	65398000	2|3	3|3	2|2
chr3	65398000	67911000	2|3	3|3	1|2
chr3	67911000	84520000	2|3	3|3	2|2
chr3	84520000	126195000	2|3	3|3	2|1
chr3	126195000	130402000	2|3	3|3	3|1
chr3	130402000	138543000	3|3	4|3	4|1
chr3	138543000	140455000	3|3	4|3	3|1
chr3	140455000	140647000	2|3	3|3	2|1
chr3	140647000	143607000	2|2	3|2	2|1
chr3	143607000	167237000	2|3	3|3	2|1
chr3	167237000	168256000	3|3	4|3	3|1
chr3	168256000	174948000	2|3	3|3	2|1
chr3	174948000	175937000	2|3	3|3	2|0
chr3	175937000	175954000	2|3	3|4	2|0
chr3	175954000	188214000	2|3	3|4	2|1
chr3	188214000	198022430	2|3	3|3	2|1
chr4	0	1000	2|2	2|2	2|0
chr4	1000	4345000	2|2	2|2	2|1
chr4	4345000	5366000	2|0	2|0	2|0
chr4	5366000	11341000	2|2	2|2	2|1
chr4	11341000	12344000	2|2	2|2	3|1
chr4	12344000	21541000	2|2	2|2	2|1
chr4	21541000	22553000	2|2	3|2	2|1
chr4	22553000	33299000	2|2	2|2	2|1
chr4	33299000	36054000	2|2	2|2	3|1
chr4	36054000	78723000	2|2	2|2	2|1
chr4	78723000	79297000	3|2	3|2	3|1
chr4	79297000	80300000	1|2	1|2	1|1
chr4	80300000	83372000	3|2	3|2	3|1
chr4	83372000	84382000	4|2	4|2	4|1
chr4	84382000	89514000	3|2	3|2	3|1
chr4	89514000	129773000	2|2	2|2	2|1
chr4	129773000	130789000	2|2	2|3	2|1
chr4	130789000	191154276	2|2	2|2	2|1
chr5	0	8546000	0|2	0|3	0|2
chr5	8546000	26873000	0|2	0|2	0|2
chr5	26873000	27873000	0|1	0|1	0|1
chr5	27873000	33850000	0|2	0|2	0|2
chr5	33850000	44654000	0|2	0|3	0|2
chr5	44654000	52040000	0|2	0|2	0|2
chr5	52040000	56365000	0|2	0|1	0|2
chr5	56365000	63645000	0|2	0|2	0|2
chr5	63645000	64639000	0|2	0|3	0|2
chr5	64639000	126441000	0|2	0|2	0|2
chr5	126441000	127448000	0|2	0|1	0|2
chr5	127448000	154992000	0|2	0|2	0|2
chr5	154992000	156000000	0|2	0|1	0|2
chr5	156000000	180883000	0|2	0|2	0|2
chr5	180883000	180915260	0|2	0|3	0|2
chr6	0	15364000	2|2	2|2	2|2
chr6	15364000	17727000	2|2	3|2	2|2
chr6	17727000	38833000	2|2	2|2	2|2
chr6	38833000	53362000	2|2	3|2	2|2
chr6	53362000	56909000	3|2	5|2	3|2
chr6	56909000	57119000	3|2	4|2	3|2
chr6	57119000	61350000	2|2	2|2	2|2
chr6	61350000	62373000	2|2	2|3	2|2
chr6	62373000	68278000	2|2	2|2	2|2
chr6	68278000	69297000	2|2	2|2	2|1
chr6	69297000	69553000	2|2	2|2	2|2
chr6	69553000	70561000	1|2	1|2	1|2
chr6	70561000	86714000	2|2	2|2	2|2
chr6	86714000	88888000	3|2	3|2	3|2
chr6	88888000	89962000	5|2	5|2	5|2
chr6	89962000	101007000	4|2	4|2	4|2
chr6	101007000	102010000	4|2	4|2	5|2
chr6	102010000	108204000	4|2	4|2	4|2
chr6	108204000	120756000	2|2	2|2	2|2
chr6	120756000	128059000	2|2	2|1	2|2
chr6	128059000	144830000	2|2	2|2	2|2
chr6	144830000	147519000	2|2	3|2	2|2
chr6	147519000	148524000	2|4	3|4	2|4
chr6	148524000	149006000	2|2	3|2	2|2
chr6	149006000	151141000	2|2	2|2	2|2
chr6	151141000	152148000	2|2	2|2	2|3
chr6	152148000	163090000	2|2	2|2	2|2
chr6	163090000	165079000	1|2	1|2	1|2
chr6	165079000	171115067	2|2	2|2	2|2
chr7	0	1000	4|2	4|2	4|2
chr7	1000	1868000	3|2	3|2	3|2
chr7	1868000	3839000	3|2	3|2	2|2
chr7	3839000	5286000	3|2	3|2	2|1
chr7	5286000	35845000	3|2	3|2	3|1
chr7	35845000	38304000	0|2	0|2	0|1
chr7	38304000	51195000	3|2	3|2	3|1
chr7	51195000	53106000	3|2	3|2	3|0
chr7	53106000	54108000	3|2	2|2	3|0
chr7	54108000	65065000	3|2	3|2	3|0
chr7	65065000	66722000	3|2	3|2	4|0
chr7	66722000	69674000	3|2	3|2	3|0
chr7	69674000	73267000	3|2	4|2	3|0
chr7	73267000	73308000	3|2	3|2	3|0
chr7	73308000	85304000	3|2	3|2	3|1
chr7	85304000	85336000	3|2	4|2	3|1
chr7	85336000	86321000	3|1	4|1	3|1
chr7	86321000	86337000	3|1	3|1	3|1
chr7	86337000	86727000	3|2	3|2	3|1
chr7	86727000	89487000	0|2	0|2	0|1
chr7	89487000	91048000	3|2	3|2	3|1
chr7	91048000	92904000	3|1	3|1	3|0
chr7	92904000	94964000	3|2	3|2	3|1
chr7	94964000	98786000	3|3	3|3	3|1
chr7	98786000	101308000	3|3	3|2	3|1
chr7	101308000	101787000	3|3	3|3	3|1
chr7	101787000	103314000	3|2	3|2	3|1
chr7	103314000	104304000	3|2	3|2	4|1
chr7	104304000	105374000	3|2	3|2	3|1
chr7	105374000	118303000	3|2	3|2	4|1
chr7	118303000	124610000	3|2	3|2	3|1
chr7	124610000	127433000	3|2	3|1	3|1
chr7	127433000	130727000	3|2	3|2	3|1
chr7	130727000	131733000	3|2	3|2	2|1
chr7	131733000	140963000	3|2	3|2	3|1
chr7	140963000	141963000	3|2	3|3	3|1
chr7	141963000	159138663	3|2	3|2	3|1
chr8	0	3015000	2|2	2|2	1|2
chr8	3015000	8043000	2|2	2|2	2|2
chr8	8043000	10570000	2|2	2|2	1|2
chr8	10570000	34218000	2|2	2|2	2|2
chr8	34218000	35224000	2|2	3|2	2|2
chr8	35224000	55776000	2|2	2|2	2|2
chr8	55776000	56791000	2|2	1|2	2|2
chr8	56791000	66519000	2|2	2|2	2|2
chr8	66519000	73182000	2|2	2|2	1|2
chr8	73182000	73959000	0|2	0|2	0|2
chr8	73959000	77668000	0|2	0|2	0|3
chr8	77668000	78720000	0|2	0|2	0|2
chr8	78720000	79706000	0|2	0|3	0|2
chr8	79706000	96571000	0|2	0|2	0|2
chr8	96571000	99277000	0|4	0|4	0|4
chr8	99277000	118550000	0|2	0|2	0|2
chr8	118550000	119358000	0|2	0|3	0|2
chr8	119358000	119537000	0|2	0|2	0|2
chr8	119537000	129601000	0|2	0|1	0|2
chr8	129601000	132438000	0|2	0|1	0|3
chr8	132438000	145271000	0|2	0|1	0|2
chr8	145271000	146364022	0|2	0|2	0|2
chr9	0	28847000	2|2	1|2	2|2
chr9	28847000	32158000	2|2	1|2	1|2
chr9	32158000	33152000	1|2	0|2	1|2
chr9	33152000	42768000	2|2	1|2	1|2
chr9	42768000	51572000	2|2	1|2	2|2
chr9	51572000	54989000	2|2	2|2	2|2
chr9	54989000	56734000	2|2	1|2	2|2
chr9	56734000	57746000	2|2	1|2	1|2
chr9	57746000	58348000	2|2	1|2	2|2
chr9	58348000	59362000	2|2	2|2	2|2
chr9	59362000	64641000	2|2	1|2	2|2
chr9	64641000	68636000	2|4	1|4	2|4
chr9	68636000	87647000	2|2	1|2	2|2
chr9	87647000	88647000	2|1	1|1	2|1
chr9	88647000	95621000	2|2	1|2	2|2
chr9	95621000	96610000	2|2	1|1	2|2
chr9	96610000	126746000	2|2	1|2	2|2
chr9	126746000	129436000	2|2	0|2	2|2
chr9	129436000	141080000	2|2	1|2	2|2
chr9	141080000	141213431	2|2	2|2	2|2
chr10	0	7546000	2|2	2|0	2|2
chr10	7546000	12992000	3|2	3|0	3|2
chr10	12992000	31744000	5|2	5|0	5|2
chr10	31744000	31965000	3|2	3|0	3|2
chr10	31965000	32962000	3|2	2|0	3|2
chr10	32962000	46946000	3|2	3|0	3|2
chr10	46946000	55644000	3|3	3|0	3|3
chr10	55644000	58342000	3|2	3|0	3|2
chr10	58342000	78103000	3|0	3|0	3|0
chr10	78103000	89248000	3|2	3|0	3|2
chr10	89248000	92907000	4|2	4|0	4|2
chr10	92907000	105641000	3|2	3|0	3|2
chr10	105641000	106640000	2|2	2|0	2|2
chr10	106640000	123933000	3|2	3|0	3|2
chr10	123933000	124936000	3|2	3|0	2|2
chr10	124936000	135534747	3|2	3|0	3|2
chr11	0	2988000	2|2	2|0	2|2
chr11	2988000	5868000	2|2	2|0	2|1
chr11	5868000	6882000	2|1	2|0	2|1
chr11	6882000	17842000	2|2	2|0	2|1
chr11	17842000	41215000	2|2	2|0	2|2
chr11	41215000	42214000	1|2	1|0	1|2
chr11	42214000	60952000	2|2	2|0	2|2
chr11	60952000	61952000	2|0	2|0	2|0
chr11	61952000	65599000	2|2	2|0	2|2
chr11	65599000	65912000	2|2	2|0	2|1
chr11	65912000	66605000	2|2	1|0	2|1
chr11	66605000	71484000	2|2	1|0	2|2
chr11	71484000	97547000	2|2	2|0	2|2
chr11	97547000	98551000	2|3	2|0	2|3
chr11	98551000	109086000	2|2	2|0	2|2
chr11	109086000	112632000	2|2	2|0	3|2
chr11	112632000	115531000	2|2	2|0	2|2
chr11	115531000	116537000	2|2	2|0	2|3
chr11	116537000	125212000	2|2	2|0	2|2
chr11	125212000	128916000	2|3	2|0	2|3
chr11	128916000	135006516	2|2	2|0	2|2
chr12	0	4472000	2|2	2|2	2|1
chr12	4472000	7762000	2|2	3|2	2|1
chr12	7762000	33152000	2|2	2|2	2|1
chr12	33152000	36734000	2|2	2|3	2|1
chr12	36734000	37270000	2|2	3|3	2|1
chr12	37270000	37733000	3|2	4|3	3|1
chr12	37733000	38246000	3|2	3|3	3|1
chr12	38246000	45569000	2|2	2|3	2|1
chr12	45569000	72275000	2|2	2|2	2|1
chr12	72275000	73274000	2|0	2|0	2|0
chr12	73274000	107308000	2|2	2|2	2|1
chr12	107308000	109493000	2|2	2|2	1|1
chr12	109493000	116407000	2|2	2|2	2|1
chr12	116407000	118927000	2|2	2|3	2|1
chr12	118927000	122146000	2|2	2|2	2|1
chr12	122146000	133851895	2|2	2|2	2|2
chr13	0	5627000	2|2	2|3	3|2
chr13	5627000	6638000	2|2	2|3	3|1
chr13	6638000	8153000	2|2	2|3	3|2
chr13	8153000	24479000	2|2	2|2	3|2
chr13	24479000	24988000	2|3	2|3	3|3
chr13	24988000	25448000	3|3	3|3	5|3
chr13	25448000	25992000	3|2	3|2	5|2
chr13	25992000	28726000	2|2	2|2	3|2
chr13	28726000	29721000	2|2	1|2	3|2
chr13	29721000	49550000	2|2	2|2	3|2
chr13	49550000	52566000	2|2	2|2	2|2
chr13	52566000	58868000	2|2	2|2	3|2
chr13	58868000	66813000	2|2	2|2	4|2
chr13	66813000	102764000	2|2	2|2	3|2
chr13	102764000	103769000	2|2	2|2	3|3
chr13	103769000	111742000	2|2	2|2	3|2
chr13	111742000	113207000	2|2	2|3	3|2
chr13	113207000	115169878	2|2	2|3	4|2
chr14	0	4035000	2|2	2|2	3|2
chr14	4035000	5026000	2|2	2|2	2|2
chr14	5026000	5546000	2|2	2|2	3|2
chr14	5546000	19307000	2|2	2|2	4|2
chr14	19307000	19956000	2|2	2|3	4|2
chr14	19956000	23210000	2|2	2|3	3|2
chr14	23210000	23921000	2|2	2|2	3|2
chr14	23921000	26611000	2|3	2|3	3|3
chr14	26611000	43731000	2|2	2|2	3|2
chr14	43731000	44732000	2|2	2|2	4|2
chr14	44732000	46992000	2|2	2|2	3|2
chr14	46992000	48013000	2|2	1|2	3|2
chr14	48013000	57402000	2|2	2|2	3|2
chr14	57402000	58398000	2|2	2|2	2|2
chr14	58398000	59413000	2|2	2|2	3|2
chr14	59413000	67874000	3|2	3|2	4|2
chr14	67874000	81170000	2|2	2|2	3|2
chr14	81170000	85013000	2|2	2|2	3|3
chr14	85013000	103119000	2|2	2|2	3|2
chr14	103119000	107349540	2|2	2|2	4|2
chr15	0	495000	0|2	0|2	0|2
chr15	495000	13986000	1|2	1|2	1|2
chr15	13986000	15008000	1|2	1|2	1|1
chr15	15008000	29340000	1|2	1|2	1|2
chr15	29340000	31470000	1|2	1|2	0|2
chr15	31470000	52101000	1|2	1|2	1|2
chr15	52101000	53113000	1|2	1|2	2|2
chr15	53113000	60475000	1|2	1|2	1|2
chr15	60475000	62598000	2|2	2|2	2|2
chr15	62598000	62662000	1|2	1|2	1|2
chr15	62662000	65831000	1|2	1|2	0|2
chr15	65831000	69728000	1|2	1|2	1|2
chr15	69728000	72075000	1|2	1|2	1|3
chr15	72075000	73064000	1|1	1|1	1|1
chr15	73064000	73734000	1|2	1|2	1|3
chr15	73734000	88217000	1|2	1|2	1|2
chr15	88217000	95794000	1|2	1|2	1|3
chr15	95794000	97330000	1|2	1|2	1|2
chr15	97330000	100542000	1|2	1|1	1|2
chr15	100542000	102531392	1|2	1|2	1|2
chr16	0	383000	2|2	2|2	2|2
chr16	383000	1384000	2|2	2|2	1|2
chr16	1384000	27514000	2|2	2|2	2|2
chr16	27514000	28516000	2|2	2|2	2|1
chr16	28516000	54058000	2|2	2|2	2|2
chr16	54058000	55057000	2|2	1|2	2|2
chr16	55057000	57276000	2|2	2|2	2|2
chr16	57276000	60162000	2|2	1|2	2|2
chr16	60162000	61069000	2|3	1|4	2|3
chr16	61069000	61702000	2|3	1|5	2|3
chr16	61702000	62519000	2|2	1|3	2|2
chr16	62519000	68168000	2|2	1|2	2|2
chr16	68168000	78036000	2|2	2|2	2|2
chr16	78036000	79045000	2|2	2|2	1|2
chr16	79045000	86385000	2|2	2|2	2|2
chr16	86385000	86813000	2|2	2|2	3|2
chr16	86813000	87393000	2|0	2|0	3|0
chr16	87393000	87781000	2|0	2|0	2|0
chr16	87781000	90354753	2|2	2|2	2|2
chr17	0	1000	2|4	1|4	2|4
chr17	1000	9026000	2|3	1|3	2|3
chr17	9026000	10013000	2|4	1|4	2|4
chr17	10013000	23359000	2|3	1|3	2|3
chr17	23359000	27232000	2|3	1|3	3|3
chr17	27232000	65011000	2|3	1|3	2|3
chr17	65011000	66002000	2|3	1|3	2|2
chr17	66002000	81195210	2|3	1|3	2|3
chr18	0	9172000	2|2	2|2	2|2
chr18	9172000	10152000	2|3	2|3	2|3
chr18	10152000	15151000	2|2	2|2	2|2
chr18	15151000	16177000	2|2	2|2	3|2
chr18	16177000	26343000	2|2	2|2	2|2
chr18	26343000	28909000	2|3	2|3	2|3
chr18	28909000	40218000	2|2	2|2	2|2
chr18	40218000	41213000	2|2	3|2	2|2
chr18	41213000	43125000	2|2	2|2	2|2
chr18	43125000	45116000	2|3	2|3	2|4
chr18	45116000	46784000	2|3	2|3	2|3
chr18	46784000	47767000	2|3	2|2	2|3
chr18	47767000	53231000	2|3	2|3	2|3
chr18	53231000	54934000	2|3	2|3	2|4
chr18	54934000	78077248	2|2	2|2	2|2
chr20	0	1000	2|2	2|4	2|2
chr20	1000	5974000	2|2	2|3	2|2
chr20	5974000	8943000	0|2	0|3	0|2
chr20	8943000	25435000	2|2	2|3	2|2
chr20	25435000	27166000	2|2	2|2	2|2
chr20	27166000	63025520	2|2	2|3	2|2
chr19	0	18730000	2|2	2|1	2|2
chr19	18730000	21119000	2|2	1|1	2|2
chr19	21119000	24672000	2|2	2|1	2|2
chr19	24672000	25661000	2|0	2|0	2|0
chr19	25661000	40357000	2|2	2|1	2|2
chr19	40357000	41341000	2|2	2|1	3|2
chr19	41341000	45993000	2|2	2|1	2|2
chr19	45993000	46998000	2|2	2|2	2|2
chr19	46998000	58626000	2|2	2|1	2|2
chr19	58626000	59128983	2|2	2|0	2|2
chr22	0	16767000	1|2	1|2	1|2
chr22	16767000	20244000	1|2	0|2	1|2
chr22	20244000	24657000	1|2	1|2	1|2
chr22	24657000	31156000	1|2	2|2	1|2
chr22	31156000	31217000	1|2	2|1	1|2
chr22	31217000	32216000	1|2	2|2	1|2
chr22	32216000	42218000	1|2	2|1	1|2
chr22	42218000	47478000	1|2	2|2	1|2
chr22	47478000	51304566	1|2	1|2	1|2
chr21	0	11843000	2|0	1|0	0|0
chr21	11843000	37271000	2|0	2|0	0|0
chr21	37271000	48129895	2|0	1|0	0|0
