#CHR	START	END	clone0	clone1	clone2
chr2	52230000	52376000	2|0	1|0	1|0
chr2	52376000	54840000	2|2	1|2	1|2
chr2	54840000	55707000	2|2	2|2	2|2
chr2	55707000	58836000	2|2	3|2	3|2
chr2	58836000	75838000	2|2	2|2	2|2
chr2	75838000	76818000	0|2	0|2	0|2
chr2	76818000	93715000	2|2	2|2	2|2
chr2	93715000	94738000	2|2	1|2	1|2
chr2	94738000	98391000	2|2	2|2	2|2
chr2	98391000	99376000	2|3	2|4	2|4
chr2	99376000	100277000	0|3	0|4	0|4
chr2	100277000	100926000	0|3	0|3	0|3
chr2	100926000	101158000	0|5	0|5	0|5
chr2	101158000	101639000	0|5	0|6	0|6
chr2	101639000	101924000	0|4	0|4	0|4
chr2	101924000	102434000	0|2	0|2	0|2
chr2	102434000	102537000	2|2	2|2	2|2
chr2	102537000	103533000	2|2	2|2	2|3
chr2	103533000	118998000	2|2	2|2	2|2
chr2	118998000	119766000	2|2	2|3	2|3
chr2	119766000	120032000	2|3	2|4	2|4
chr2	120032000	120065000	2|4	2|6	2|6
chr2	120065000	120778000	2|4	2|5	2|5
chr2	120778000	121040000	2|3	2|4	2|4
chr2	121040000	143217000	2|2	2|2	2|2
chr2	143217000	152290000	2|2	2|2	3|2
chr2	152290000	153117000	2|2	2|2	2|2
chr2	153117000	154114000	2|2	2|2	3|2
chr2	154114000	175499000	2|2	2|2	2|2
chr2	175499000	176490000	2|2	2|3	2|3
chr2	176490000	181080000	2|2	2|2	2|2
chr2	181080000	184088000	2|0	2|0	2|0
chr2	184088000	192137000	2|2	2|2	2|2
chr2	192137000	194925000	2|2	2|1	2|1
chr2	194925000	207399000	2|2	2|2	2|2
chr2	207399000	208387000	2|2	2|2	2|3
chr2	208387000	210784000	2|2	2|2	2|2
chr2	210784000	217466000	3|2	3|2	3|2
chr2	217466000	218477000	3|2	3|1	3|1
chr2	218477000	223155000	3|2	3|2	3|2
chr2	223155000	224160000	3|2	3|3	3|3
chr2	224160000	224333000	3|2	3|2	3|2
chr2	224333000	225339000	3|2	3|2	4|2
chr2	225339000	234917000	3|2	3|2	3|2
chr2	234917000	242699000	2|2	2|2	2|2
chr2	242699000	243199373	2|2	2|2	2|1
chr3	0	14463000	2|2	1|2	2|2
chr3	14463000	16069000	2|2	1|2	0|2
chr3	16069000	28683000	2|2	0|2	0|2
chr3	28683000	31839000	4|2	0|2	0|2
chr3	31839000	33491000	2|2	0|2	0|2
chr3	33491000	34006000	2|2	1|2	0|2
chr3	34006000	36315000	2|2	1|2	2|2
chr3	36315000	39722000	2|2	1|2	2|3
chr3	39722000	41955000	2|2	1|2	4|3
chr3	41955000	47611000	2|2	1|2	2|3
chr3	47611000	48601000	2|3	1|3	2|5
chr3	48601000	54371000	2|2	1|2	2|3
chr3	54371000	58591000	2|2	1|2	2|2
chr3	58591000	61659000	2|3	1|3	2|3
chr3	61659000	73752000	2|2	1|2	2|2
chr3	73752000	75261000	2|2	1|2	2|1
chr3	75261000	85687000	2|3	1|3	2|2
chr3	85687000	93009000	2|2	1|2	2|1
chr3	93009000	108203000	2|2	1|2	2|2
chr3	108203000	165297000	2|2	1|2	1|2
chr3	165297000	167441000	3|2	2|2	2|2
chr3	167441000	196950000	2|2	1|2	1|2
chr3	196950000	198022430	2|2	0|2	0|2
chr4	0	1884000	2|2	2|2	2|2
chr4	1884000	5489000	2|2	2|1	2|1
chr4	5489000	6182000	2|2	2|1	1|1
chr4	6182000	16265000	2|2	1|1	0|1
chr4	16265000	34361000	2|2	1|1	1|1
chr4	34361000	36889000	2|4	1|2	1|2
chr4	36889000	64403000	2|2	1|1	1|1
chr4	64403000	65403000	2|3	1|1	1|1
chr4	65403000	85111000	2|2	1|1	1|1
chr4	85111000	86111000	2|2	1|1	0|1
chr4	86111000	118167000	2|2	1|1	1|1
chr4	118167000	121364000	2|2	0|1	0|1
chr4	121364000	158167000	2|2	1|1	1|1
chr4	158167000	160936000	2|3	1|1	1|1
chr4	160936000	163147000	2|2	1|1	1|1
chr4	163147000	163289000	1|2	0|1	0|1
chr4	163289000	164289000	1|4	0|2	0|2
chr4	164289000	172842000	1|2	0|1	0|1
chr4	172842000	191154276	2|2	1|1	1|1
chr5	0	998000	2|2	2|2	2|2
chr5	998000	17639000	2|2	2|1	2|1
chr5	17639000	18628000	3|2	3|1	3|1
chr5	18628000	23239000	2|2	2|1	2|1
chr5	23239000	24249000	2|2	2|1	3|1
chr5	24249000	47899000	2|2	2|1	2|1
chr5	47899000	50879000	2|2	3|1	3|1
chr5	50879000	54119000	2|2	2|1	2|1
chr5	54119000	56710000	3|2	3|1	3|1
chr5	56710000	85042000	2|2	2|1	2|1
chr5	85042000	88102000	3|2	3|1	3|1
chr5	88102000	95563000	2|2	2|1	2|1
chr5	95563000	96935000	2|2	2|1	2|2
chr5	96935000	97668000	2|2	2|1	3|2
chr5	97668000	98483000	2|3	2|1	3|2
chr5	98483000	98655000	2|3	2|1	3|1
chr5	98655000	99435000	2|2	2|1	3|1
chr5	99435000	123540000	2|2	2|1	2|1
chr5	123540000	126801000	2|4	2|2	2|2
chr5	126801000	134374000	2|2	2|1	2|1
chr5	134374000	135364000	3|2	3|1	3|1
chr5	135364000	150303000	2|2	2|1	2|1
chr5	150303000	151315000	2|2	3|1	3|1
chr5	151315000	180915260	2|2	2|1	2|1
chr6	0	22445000	2|0	2|0	2|0
chr6	22445000	44417000	2|0	2|0	3|0
chr6	44417000	84706000	2|0	2|0	2|0
chr6	84706000	102918000	2|2	2|2	2|2
chr6	102918000	103908000	2|3	2|3	2|3
chr6	103908000	137500000	2|2	2|2	2|2
chr6	137500000	140707000	3|2	3|2	3|2
chr6	140707000	167699000	2|2	2|2	2|2
chr6	167699000	170548000	3|2	3|2	3|2
chr6	170548000	171115067	2|2	2|2	2|2
chr7	0	772000	2|2	2|2	2|2
chr7	772000	31185000	2|2	3|2	3|2
chr7	31185000	33725000	2|2	5|2	5|2
chr7	33725000	42465000	2|2	3|2	3|2
chr7	42465000	43459000	4|2	6|2	6|2
chr7	43459000	44414000	2|2	3|2	3|2
chr7	44414000	53969000	2|0	3|0	3|0
chr7	53969000	70148000	2|2	3|2	3|2
chr7	70148000	73397000	2|2	3|2	4|2
chr7	73397000	84361000	2|2	3|2	3|2
chr7	84361000	85357000	2|2	4|2	4|2
chr7	85357000	88536000	2|2	3|2	3|2
chr7	88536000	89546000	2|2	3|2	3|1
chr7	89546000	144488000	2|2	3|2	3|2
chr7	144488000	145484000	2|2	3|2	3|1
chr7	145484000	159138663	2|2	3|2	3|2
chr8	0	1000	2|5	2|5	2|5
chr8	1000	4807000	2|4	2|4	2|4
chr8	4807000	5814000	2|4	2|5	2|5
chr8	5814000	10297000	2|4	2|4	2|4
chr8	10297000	13742000	4|4	4|4	4|4
chr8	13742000	19573000	2|4	2|4	2|4
chr8	19573000	21964000	2|4	2|4	3|4
chr8	21964000	23385000	2|4	2|5	3|5
chr8	23385000	29937000	2|4	2|4	3|4
chr8	29937000	30934000	2|4	2|4	4|4
chr8	30934000	31539000	2|4	2|4	3|4
chr8	31539000	49844000	2|4	2|4	2|4
chr8	49844000	51428000	3|4	3|4	3|4
chr8	51428000	73725000	2|4	2|4	2|4
chr8	73725000	74722000	2|4	2|5	2|5
chr8	74722000	84846000	2|4	2|4	2|4
chr8	84846000	89902000	2|6	2|6	2|6
chr8	89902000	96199000	2|7	2|7	2|7
chr8	96199000	108087000	2|5	2|5	2|5
chr8	108087000	109094000	2|5	1|5	1|5
chr8	109094000	111852000	2|5	2|5	2|5
chr8	111852000	112832000	2|4	2|4	2|4
chr8	112832000	113826000	2|4	2|4	2|5
chr8	113826000	119826000	2|4	2|4	2|4
chr8	119826000	120830000	2|4	3|4	3|4
chr8	120830000	123387000	2|4	2|4	2|4
chr8	123387000	131611000	2|4	2|3	2|3
chr8	131611000	133940000	3|4	3|3	3|3
chr8	133940000	134999000	3|5	3|4	3|4
chr8	134999000	142593000	2|5	2|4	2|4
chr8	142593000	143598000	2|5	2|5	2|5
chr8	143598000	145042000	2|5	2|4	2|4
chr8	145042000	146364022	2|5	2|5	2|5
chr9	0	1117000	2|2	2|2	2|2
chr9	1117000	3840000	2|2	2|2	3|2
chr9	3840000	12358000	2|2	2|2	2|2
chr9	12358000	15101000	2|3	2|3	2|3
chr9	15101000	23438000	2|2	2|2	2|2
chr9	23438000	27236000	3|2	3|2	3|2
chr9	27236000	28241000	3|2	4|2	4|2
chr9	28241000	36062000	3|2	3|2	3|2
chr9	36062000	36090000	3|2	4|2	4|2
chr9	36090000	47233000	2|2	3|2	3|2
chr9	47233000	63625000	2|2	2|2	2|2
chr9	63625000	64400000	1|2	1|2	1|2
chr9	64400000	66791000	1|4	1|4	1|4
chr9	66791000	67574000	2|4	2|4	2|4
chr9	67574000	78149000	2|2	2|2	2|2
chr9	78149000	82604000	2|3	2|3	2|3
chr9	82604000	92006000	2|2	2|2	2|2
chr9	92006000	110040000	2|2	3|2	3|2
chr9	110040000	111523000	2|2	3|2	2|2
chr9	111523000	113457000	2|2	2|2	1|2
chr9	113457000	125157000	2|2	2|2	2|2
chr9	125157000	126145000	2|0	2|0	2|0
chr9	126145000	137791000	2|2	2|2	2|2
chr9	137791000	138802000	2|2	2|1	2|1
chr9	138802000	141213431	2|2	2|2	2|2
chr10	0	49059000	2|0	2|0	2|0
chr10	49059000	50061000	2|0	2|0	3|0
chr10	50061000	63482000	2|0	2|0	2|0
chr10	63482000	66780000	2|0	2|0	3|0
chr10	66780000	75698000	2|0	2|0	2|0
chr10	75698000	78778000	3|0	3|0	3|0
chr10	78778000	110381000	2|0	2|0	2|0
chr10	110381000	111392000	3|0	3|0	3|0
chr10	111392000	124672000	2|0	2|0	2|0
chr10	124672000	125676000	1|0	1|0	1|0
chr10	125676000	135534747	2|0	2|0	2|0
chr11	0	1000	4|2	4|3	4|3
chr11	1000	15400000	3|2	3|3	3|3
chr11	15400000	27156000	3|0	3|0	3|0
chr11	27156000	37339000	3|2	3|3	3|3
chr11	37339000	40389000	3|2	3|3	4|3
chr11	40389000	43017000	3|2	3|3	5|3
chr11	43017000	50224000	3|2	3|3	4|3
chr11	50224000	50772000	3|2	3|3	3|3
chr11	50772000	53974000	3|2	3|3	4|3
chr11	53974000	68519000	3|2	3|3	3|3
chr11	68519000	70809000	3|2	4|3	4|3
chr11	70809000	87160000	3|2	3|3	3|3
chr11	87160000	88139000	3|2	2|3	2|3
chr11	88139000	101317000	3|2	3|3	3|3
chr11	101317000	104652000	3|2	3|2	3|2
chr11	104652000	109389000	3|2	3|3	3|3
chr11	109389000	112624000	2|2	2|3	2|3
chr11	112624000	135006516	3|2	3|3	3|3
chr12	0	1431000	3|2	3|2	3|2
chr12	1431000	3687000	3|1	3|1	3|1
chr12	3687000	13512000	3|2	3|2	3|2
chr12	13512000	14028000	3|2	3|2	3|3
chr12	14028000	14503000	4|2	4|2	4|3
chr12	14503000	15044000	4|2	4|2	4|2
chr12	15044000	23748000	3|2	3|2	3|2
chr12	23748000	26719000	3|2	3|3	3|3
chr12	26719000	27708000	3|2	4|3	4|3
chr12	27708000	37946000	3|2	3|3	3|3
chr12	37946000	43333000	3|2	3|4	3|4
chr12	43333000	43486000	3|2	3|3	3|3
chr12	43486000	44486000	3|2	3|3	3|4
chr12	44486000	48704000	3|2	3|3	3|3
chr12	48704000	56449000	3|2	3|2	3|2
chr12	56449000	57453000	3|2	3|2	3|3
chr12	57453000	71408000	3|2	3|2	3|2
chr12	71408000	72403000	3|2	3|2	4|2
chr12	72403000	83730000	3|2	3|2	3|2
chr12	83730000	93450000	3|2	3|2	2|2
chr12	93450000	94175000	3|2	3|2	3|2
chr12	94175000	97247000	2|2	2|2	2|2
chr12	97247000	111277000	3|2	3|2	3|2
chr12	111277000	114056000	3|2	3|2	2|2
chr12	114056000	123407000	3|2	3|2	3|2
chr12	123407000	126460000	3|2	3|2	2|2
chr12	126460000	127681000	3|2	3|2	3|2
chr12	127681000	128674000	3|2	3|2	4|2
chr12	128674000	133851895	3|2	3|2	3|2
chr13	0	28079000	2|2	2|2	2|2
chr13	28079000	29078000	2|2	2|2	3|2
chr13	29078000	41057000	2|2	2|2	2|2
chr13	41057000	48436000	2|2	2|2	2|3
chr13	48436000	48480000	2|2	2|2	1|3
chr13	48480000	49259000	2|2	3|2	2|3
chr13	49259000	49439000	2|2	3|2	2|2
chr13	49439000	49767000	2|2	3|2	3|2
chr13	49767000	53552000	2|0	3|0	3|0
chr13	53552000	54621000	2|2	3|2	3|2
chr13	54621000	55632000	2|2	3|3	3|3
chr13	55632000	58700000	2|2	3|2	3|2
chr13	58700000	103355000	2|2	2|2	2|2
chr13	103355000	104353000	1|2	1|2	1|2
chr13	104353000	115169878	2|2	2|2	2|2
chr14	0	2844000	2|4	2|3	2|3
chr14	2844000	5370000	2|4	2|2	2|2
chr14	5370000	6364000	2|4	2|3	2|3
chr14	6364000	16439000	2|4	2|2	2|2
chr14	16439000	16967000	2|5	2|2	2|2
chr14	16967000	17974000	2|5	3|2	3|2
chr14	17974000	20884000	2|5	2|2	2|2
chr14	20884000	21869000	2|4	2|2	2|2
chr14	21869000	28946000	2|5	2|2	2|2
chr14	28946000	32341000	2|5	2|2	3|2
chr14	32341000	35491000	2|5	2|2	2|2
chr14	35491000	38757000	2|4	2|2	2|2
chr14	38757000	41692000	2|4	3|2	3|2
chr14	41692000	53675000	2|4	2|2	2|2
chr14	53675000	72142000	2|2	2|1	2|1
chr14	72142000	73145000	2|1	2|1	2|1
chr14	73145000	76082000	2|2	2|1	2|1
chr14	76082000	80779000	2|2	1|1	1|1
chr14	80779000	90157000	2|2	1|2	1|2
chr14	90157000	92619000	2|2	1|1	1|1
chr14	92619000	95405000	2|2	2|1	2|1
chr14	95405000	96313000	2|2	1|1	1|1
chr14	96313000	107349540	2|2	2|1	2|1
chr15	0	1976000	1|2	1|2	1|2
chr15	1976000	4265000	1|2	1|1	1|1
chr15	4265000	4573000	1|2	1|2	1|2
chr15	4573000	5065000	1|2	1|1	1|1
chr15	5065000	13715000	1|3	1|2	1|2
chr15	13715000	25712000	1|3	1|3	1|3
chr15	25712000	25863000	1|2	1|2	1|2
chr15	25863000	26851000	1|3	1|3	1|3
chr15	26851000	35394000	1|2	1|2	1|2
chr15	35394000	36386000	1|2	1|3	1|3
chr15	36386000	102531392	1|2	1|2	1|2
chr16	0	2695000	3|2	3|3	3|3
chr16	2695000	6387000	3|2	3|4	3|4
chr16	6387000	8955000	3|2	3|3	3|3
chr16	8955000	9966000	3|2	3|3	4|3
chr16	9966000	35576000	3|2	3|3	3|3
chr16	35576000	43222000	3|2	3|3	2|3
chr16	43222000	43925000	3|2	3|3	3|3
chr16	43925000	44906000	3|2	3|4	3|4
chr16	44906000	45610000	3|2	3|3	3|3
chr16	45610000	51942000	3|1	3|1	3|1
chr16	51942000	52948000	3|1	3|1	2|1
chr16	52948000	55798000	3|1	3|1	3|1
chr16	55798000	62488000	3|2	3|3	3|3
chr16	62488000	63484000	3|1	3|2	3|2
chr16	63484000	68063000	3|2	3|3	3|3
chr16	68063000	75331000	3|2	3|3	3|4
chr16	75331000	77977000	3|2	4|3	4|4
chr16	77977000	79101000	3|2	4|3	4|5
chr16	79101000	81213000	3|2	4|3	4|4
chr16	81213000	83422000	3|2	4|3	4|3
chr16	83422000	87039000	3|2	4|4	4|4
chr16	87039000	87216000	3|2	4|4	5|4
chr16	87216000	88038000	3|2	3|4	4|4
chr16	88038000	90354753	3|2	3|4	3|4
chr17	0	1000	1|4	1|4	1|4
chr17	1000	922000	1|3	1|3	1|3
chr17	922000	6346000	2|3	2|3	2|3
chr17	6346000	8417000	2|3	2|3	2|4
chr17	8417000	8880000	3|3	3|3	3|4
chr17	8880000	9419000	3|3	4|3	4|4
chr17	9419000	9869000	3|3	4|3	4|3
chr17	9869000	11096000	3|3	3|3	3|3
chr17	11096000	16398000	2|3	2|3	2|3
chr17	16398000	19249000	4|3	4|3	5|3
chr17	19249000	24268000	4|3	4|3	6|3
chr17	24268000	29253000	2|3	2|3	3|3
chr17	29253000	30251000	2|0	2|0	3|0
chr17	30251000	32216000	2|3	2|3	3|3
chr17	32216000	34647000	2|3	2|3	2|3
chr17	34647000	37091000	2|4	2|4	2|4
chr17	37091000	38410000	4|4	4|4	4|4
chr17	38410000	38694000	4|4	4|5	4|5
chr17	38694000	38772000	3|4	3|5	3|5
chr17	38772000	39395000	3|3	3|4	3|4
chr17	39395000	53157000	3|3	3|3	3|3
chr17	53157000	53733000	4|3	4|3	4|3
chr17	53733000	58073000	2|3	2|3	2|3
chr17	58073000	58517000	2|3	2|4	2|4
chr17	58517000	59515000	2|3	2|4	2|5
chr17	59515000	60031000	2|3	2|4	2|4
chr17	60031000	61596000	2|3	2|4	1|4
chr17	61596000	62352000	2|3	2|3	1|3
chr17	62352000	67346000	2|3	2|3	2|3
chr17	67346000	81195210	1|3	1|3	1|3
chr18	0	673000	2|2	3|3	3|3
chr18	673000	9704000	2|2	3|3	3|4
chr18	9704000	15220000	2|2	3|3	4|4
chr18	15220000	22540000	2|2	3|3	4|3
chr18	22540000	30586000	2|2	3|3	3|3
chr18	30586000	31479000	2|2	3|3	2|3
chr18	31479000	33293000	2|2	3|4	2|4
chr18	33293000	36522000	2|2	3|4	3|4
chr18	36522000	39276000	2|1	3|3	3|3
chr18	39276000	42286000	2|2	3|4	3|4
chr18	42286000	43637000	2|2	3|3	3|3
chr18	43637000	47055000	3|2	5|3	5|3
chr18	47055000	52139000	2|2	3|3	3|3
chr18	52139000	53534000	4|2	5|3	5|3
chr18	53534000	53589000	4|2	6|3	6|3
chr18	53589000	54592000	4|2	5|3	5|3
chr18	54592000	54889000	4|1	5|1	5|1
chr18	54889000	55600000	2|1	3|1	3|1
chr18	55600000	61408000	2|2	3|3	3|3
chr18	61408000	64563000	2|2	3|3	3|4
chr18	64563000	72793000	2|2	3|3	3|3
chr18	72793000	73787000	2|2	3|3	2|3
chr18	73787000	75021000	2|2	3|3	3|3
chr18	75021000	76021000	2|2	3|4	3|4
chr18	76021000	76369000	2|2	3|3	3|3
chr18	76369000	77205000	2|2	2|3	2|3
chr18	77205000	78077248	2|2	2|2	2|2
chr20	0	46961000	2|2	2|2	2|2
chr20	46961000	50644000	2|3	2|3	2|3
chr20	50644000	63025520	2|2	2|2	2|2
chr19	0	15287000	2|2	2|2	2|0
chr19	15287000	17744000	1|2	1|2	1|0
chr19	17744000	30791000	2|2	2|2	2|0
chr19	30791000	40842000	2|2	1|2	1|0
chr19	40842000	51465000	2|2	2|2	2|0
chr19	51465000	52467000	2|1	2|1	2|0
chr19	52467000	59128983	2|2	2|2	2|0
chr22	0	25370000	2|2	2|2	3|2
chr22	25370000	26362000	3|2	3|2	4|2
chr22	26362000	29857000	2|2	2|2	3|2
chr22	29857000	30848000	2|2	1|2	1|2
chr22	30848000	50313000	2|2	2|2	3|2
chr22	50313000	51304566	2|2	2|2	4|2
chr21	0	9360000	2|2	3|2	3|3
chr21	9360000	9610000	2|2	3|2	3|4
chr21	9610000	10375000	2|2	4|2	4|4
chr21	10375000	18458000	2|2	4|2	4|3
chr21	18458000	20630000	3|2	5|2	5|3
chr21	20630000	22380000	2|2	4|2	4|3
chr21	22380000	24585000	2|2	3|2	3|3
chr21	24585000	28346000	2|2	3|3	3|4
chr21	28346000	46249000	2|2	3|2	3|3
chr21	46249000	47043000	2|2	3|2	3|4
chr21	47043000	48129895	2|2	4|2	4|4
