#CHR	START	END	clone0	clone1
chr8	11400000	12609000	5|2	3|2
chr8	12609000	12748000	4|2	2|2
chr8	12748000	14884000	4|2	2|3
chr8	14884000	21117000	4|2	2|2
chr8	21117000	24827000	2|2	1|2
chr8	24827000	25816000	2|0	1|0
chr8	25816000	27807000	2|2	1|2
chr8	27807000	28810000	2|2	0|2
chr8	28810000	29047000	2|2	1|2
chr8	29047000	32077000	2|1	1|1
chr8	32077000	34691000	2|2	1|2
chr8	34691000	35689000	2|4	1|4
chr8	35689000	110230000	2|2	1|2
chr8	110230000	111244000	4|2	2|2
chr8	111244000	115362000	2|2	1|2
chr8	115362000	118362000	0|2	0|2
chr8	118362000	143025000	2|2	1|2
chr8	143025000	144021000	0|2	0|2
chr8	144021000	146364022	2|2	1|2
chr9	0	1788000	2|2	0|2
chr9	1788000	4370000	2|2	0|3
chr9	4370000	4568000	4|2	0|3
chr9	4568000	5566000	4|2	0|2
chr9	5566000	5596000	4|2	0|3
chr9	5596000	10862000	2|2	0|3
chr9	10862000	11868000	2|0	0|0
chr9	11868000	40776000	2|2	0|3
chr9	40776000	41785000	2|2	0|2
chr9	41785000	77672000	2|2	0|3
chr9	77672000	78672000	2|0	0|0
chr9	78672000	108030000	2|2	0|3
chr9	108030000	111041000	2|0	0|0
chr9	111041000	119155000	2|2	0|3
chr9	119155000	121254000	2|3	0|5
chr9	121254000	122732000	2|3	0|6
chr9	122732000	140183000	2|2	0|4
chr9	140183000	141213431	2|2	0|3
chr10	0	51381000	2|2	1|0
chr10	51381000	52398000	2|2	2|0
chr10	52398000	65696000	2|2	1|0
chr10	65696000	117299000	2|2	2|0
chr10	117299000	118301000	4|2	4|0
chr10	118301000	124825000	2|2	2|0
chr10	124825000	131408000	3|2	2|0
chr10	131408000	133080000	3|2	3|0
chr10	133080000	135534747	2|2	3|0
chr11	0	74834000	0|2	0|3
chr11	74834000	82240000	0|2	0|4
chr11	82240000	101026000	0|2	0|3
chr11	101026000	103594000	0|2	0|5
chr11	103594000	107412000	0|2	0|3
chr11	107412000	108391000	0|2	0|2
chr11	108391000	121302000	0|2	0|3
chr11	121302000	124626000	0|3	0|5
chr11	124626000	132061000	0|2	0|3
chr11	132061000	135006516	0|2	0|2
chr12	0	549000	2|3	3|1
chr12	549000	944000	2|3	4|1
chr12	944000	1552000	2|3	3|1
chr12	1552000	35265000	2|3	2|1
chr12	35265000	36241000	4|3	4|1
chr12	36241000	76157000	2|3	2|1
chr12	76157000	78861000	2|3	1|1
chr12	78861000	79479000	2|3	1|2
chr12	79479000	80345000	2|3	2|2
chr12	80345000	87055000	2|3	2|3
chr12	87055000	88053000	2|3	3|3
chr12	88053000	92734000	2|3	2|3
chr12	92734000	94951000	2|3	1|3
chr12	94951000	104214000	2|3	2|3
chr12	104214000	107365000	2|3	2|2
chr12	107365000	109932000	2|3	2|3
chr12	109932000	133810000	2|3	2|2
chr12	133810000	133851895	2|3	3|2
chr13	0	31058000	2|2	2|2
chr13	31058000	34091000	2|0	2|0
chr13	34091000	39624000	2|2	2|2
chr13	39624000	40634000	2|2	2|1
chr13	40634000	101050000	2|2	2|2
chr13	101050000	110034000	2|0	2|0
chr13	110034000	115169878	2|2	2|2
chr14	0	5836000	1|2	1|2
chr14	5836000	15947000	1|0	1|0
chr14	15947000	18863000	1|2	1|2
chr14	18863000	19857000	1|0	1|0
chr14	19857000	48653000	1|2	1|2
chr14	48653000	49649000	1|2	1|3
chr14	49649000	58712000	1|2	1|2
chr14	58712000	61663000	1|3	1|3
chr14	61663000	82192000	1|2	1|2
chr14	82192000	86088000	1|0	1|0
chr14	86088000	100189000	2|0	2|0
chr14	100189000	104308000	2|2	2|2
chr14	104308000	107349540	1|2	1|2
chr15	0	16140000	2|1	2|1
chr15	16140000	17137000	2|1	2|0
chr15	17137000	50053000	2|1	2|1
chr15	50053000	51333000	2|1	3|1
chr15	51333000	53113000	2|1	2|1
chr15	53113000	53295000	2|1	3|1
chr15	53295000	72576000	2|1	2|1
chr15	72576000	73569000	2|1	3|1
chr15	73569000	82150000	2|1	2|1
chr15	82150000	83131000	2|1	1|1
chr15	83131000	102531392	2|1	2|1
chr16	0	1797000	2|2	2|2
chr16	1797000	6300000	2|2	2|1
chr16	6300000	21961000	2|2	1|1
chr16	21961000	22953000	2|4	1|2
chr16	22953000	30472000	2|2	1|1
chr16	30472000	31469000	2|4	1|2
chr16	31469000	36178000	2|2	1|1
chr16	36178000	44191000	1|2	0|1
chr16	44191000	45391000	0|2	0|1
chr16	45391000	48985000	0|1	0|0
chr16	48985000	57431000	0|2	0|1
chr16	57431000	62019000	1|2	0|1
chr16	62019000	90354753	2|2	1|1
chr17	0	2414000	1|2	1|2
chr17	2414000	5728000	1|4	1|4
chr17	5728000	8719000	1|2	1|2
chr17	8719000	9072000	2|2	2|2
chr17	9072000	10088000	2|2	3|2
chr17	10088000	12132000	2|2	2|2
chr17	12132000	13122000	2|0	2|0
chr17	13122000	62276000	2|2	2|2
chr17	62276000	65259000	2|2	3|2
chr17	65259000	66666000	2|2	2|2
chr17	66666000	68675000	2|2	2|3
chr17	68675000	71920000	2|2	3|3
chr17	71920000	74253000	2|2	2|3
chr17	74253000	78062000	1|2	1|3
chr17	78062000	81195210	1|2	1|2
chr18	0	1573000	2|2	2|2
chr18	1573000	2567000	2|0	2|0
chr18	2567000	10442000	2|2	2|2
chr18	10442000	11433000	2|3	2|3
chr18	11433000	46213000	2|2	2|2
chr18	46213000	47131000	2|2	1|2
chr18	47131000	47210000	2|2	0|2
chr18	47210000	60991000	2|2	1|2
chr18	60991000	78077248	2|2	2|2
chr20	0	2604000	1|2	1|1
chr20	2604000	3728000	1|2	1|2
chr20	3728000	7251000	1|2	1|1
chr20	7251000	19344000	1|2	1|2
chr20	19344000	20193000	2|2	1|2
chr20	20193000	23031000	2|2	1|3
chr20	23031000	49875000	2|2	1|2
chr20	49875000	52787000	2|2	1|1
chr20	52787000	61893000	2|2	0|1
chr20	61893000	63025520	1|2	0|1
chr19	0	8645000	2|2	2|2
chr19	8645000	9638000	1|2	1|2
chr19	9638000	14107000	2|2	2|2
chr19	14107000	15956000	2|4	2|4
chr19	15956000	26819000	2|2	2|2
chr19	26819000	27835000	2|0	2|0
chr19	27835000	59128983	2|2	2|2
chr22	0	10316000	2|2	2|2
chr22	10316000	14465000	3|2	3|2
chr22	14465000	20369000	2|2	2|2
chr22	20369000	21380000	2|4	2|4
chr22	21380000	27125000	2|2	2|2
chr22	27125000	28119000	2|2	3|2
chr22	28119000	42889000	2|2	2|2
chr22	42889000	51068000	2|2	2|3
chr22	51068000	51304566	2|2	2|2
chr21	0	9030000	2|2	2|2
chr21	9030000	10014000	2|2	1|2
chr21	10014000	48129895	2|2	2|2
