#CHR	START	END	clone0	clone1
chr2	57770000	58767000	2|1	2|1
chr2	58767000	74930000	2|2	2|2
chr2	74930000	75921000	2|2	3|2
chr2	75921000	82575000	2|2	2|2
chr2	82575000	83839000	3|2	3|2
chr2	83839000	84841000	3|1	3|1
chr2	84841000	90231000	3|2	3|2
chr2	90231000	94898000	2|2	2|2
chr2	94898000	119564000	1|2	1|2
chr2	119564000	120178000	2|2	2|2
chr2	120178000	121194000	2|2	2|1
chr2	121194000	130673000	2|2	2|2
chr2	130673000	131676000	2|2	2|1
chr2	131676000	133978000	2|2	2|2
chr2	133978000	134981000	2|3	2|3
chr2	134981000	136180000	2|2	2|2
chr2	136180000	136832000	2|2	3|2
chr2	136832000	141529000	2|3	3|3
chr2	141529000	146393000	2|3	2|3
chr2	146393000	147243000	2|3	3|3
chr2	147243000	148739000	2|3	2|3
chr2	148739000	149741000	3|3	3|3
chr2	149741000	149928000	2|3	2|3
chr2	149928000	151788000	2|2	2|2
chr2	151788000	154527000	2|1	2|1
chr2	154527000	159041000	2|2	2|2
chr2	159041000	161404000	2|1	2|1
chr2	161404000	163729000	3|1	3|1
chr2	163729000	165640000	2|1	2|1
chr2	165640000	168648000	2|0	2|0
chr2	168648000	170999000	2|1	2|1
chr2	170999000	177249000	2|2	2|2
chr2	177249000	180140000	2|2	1|2
chr2	180140000	200093000	2|2	2|2
chr2	200093000	201050000	2|5	2|5
chr2	201050000	201075000	2|6	2|6
chr2	201075000	201081000	2|5	2|5
chr2	201081000	214727000	2|2	2|2
chr2	214727000	217831000	2|2	3|2
chr2	217831000	234775000	2|2	2|2
chr2	234775000	235768000	2|2	1|2
chr2	235768000	243199373	2|2	2|2
chr3	0	8928000	2|2	2|2
chr3	8928000	9936000	2|2	3|2
chr3	9936000	11977000	2|2	2|2
chr3	11977000	12977000	2|2	2|1
chr3	12977000	12985000	2|2	3|1
chr3	12985000	20904000	2|2	3|2
chr3	20904000	26284000	2|2	2|2
chr3	26284000	30295000	2|3	2|3
chr3	30295000	54766000	2|2	2|2
chr3	54766000	65327000	0|2	0|2
chr3	65327000	79032000	2|2	2|2
chr3	79032000	81906000	2|3	2|3
chr3	81906000	95286000	2|2	2|2
chr3	95286000	96297000	2|2	2|1
chr3	96297000	110462000	2|2	2|2
chr3	110462000	113916000	2|2	1|2
chr3	113916000	136177000	2|2	2|2
chr3	136177000	138394000	2|1	2|1
chr3	138394000	138700000	2|1	3|1
chr3	138700000	139411000	2|2	3|2
chr3	139411000	152904000	2|2	2|2
chr3	152904000	156783000	2|1	2|1
chr3	156783000	189416000	2|2	2|2
chr3	189416000	190883000	2|2	2|1
chr3	190883000	198022430	2|2	2|2
chr4	0	10203000	2|0	2|0
chr4	10203000	11207000	2|0	3|0
chr4	11207000	16611000	2|0	2|0
chr4	16611000	18865000	0|0	0|0
chr4	18865000	39638000	2|0	2|0
chr4	39638000	40645000	4|0	4|0
chr4	40645000	41227000	2|0	2|0
chr4	41227000	49603000	2|0	3|0
chr4	49603000	61218000	2|0	2|0
chr4	61218000	62238000	2|0	3|0
chr4	62238000	75548000	2|0	2|0
chr4	75548000	76561000	2|0	3|0
chr4	76561000	107246000	2|0	2|0
chr4	107246000	108258000	2|0	3|0
chr4	108258000	112021000	2|0	2|0
chr4	112021000	131537000	1|0	1|0
chr4	131537000	175527000	2|0	2|0
chr4	175527000	176523000	0|0	0|0
chr4	176523000	191154276	2|0	2|0
chr5	0	887000	2|2	2|2
chr5	887000	4806000	2|2	2|3
chr5	4806000	14564000	2|2	2|2
chr5	14564000	15582000	3|2	3|2
chr5	15582000	16069000	2|2	2|2
chr5	16069000	18257000	2|2	2|1
chr5	18257000	22606000	2|2	2|2
chr5	22606000	24963000	2|2	2|3
chr5	24963000	26255000	2|2	2|2
chr5	26255000	27751000	2|2	2|3
chr5	27751000	28464000	2|2	3|3
chr5	28464000	30013000	2|2	3|2
chr5	30013000	43254000	2|2	2|2
chr5	43254000	46155000	2|0	2|0
chr5	46155000	68248000	2|2	2|2
chr5	68248000	69136000	2|2	1|2
chr5	69136000	72300000	2|2	1|1
chr5	72300000	75796000	2|2	1|2
chr5	75796000	113881000	2|2	2|2
chr5	113881000	114887000	2|2	2|1
chr5	114887000	115979000	2|2	2|2
chr5	115979000	116974000	2|1	2|1
chr5	116974000	132171000	2|2	2|2
chr5	132171000	134069000	2|2	1|2
chr5	134069000	147950000	2|2	2|2
chr5	147950000	151150000	2|0	2|0
chr5	151150000	161266000	2|2	2|2
chr5	161266000	170861000	2|0	2|0
chr5	170861000	180915260	2|2	2|2
chr6	0	1593000	2|3	2|2
chr6	1593000	3626000	2|3	2|3
chr6	3626000	5439000	2|3	3|3
chr6	5439000	6432000	2|3	4|3
chr6	6432000	9519000	2|3	3|3
chr6	9519000	11943000	2|3	2|3
chr6	11943000	12959000	1|3	1|3
chr6	12959000	24401000	2|3	2|3
chr6	24401000	24737000	4|3	4|3
chr6	24737000	25410000	3|3	3|3
chr6	25410000	27683000	1|3	1|3
chr6	27683000	40971000	2|3	2|3
chr6	40971000	44215000	2|4	2|4
chr6	44215000	45227000	2|4	2|3
chr6	45227000	45260000	2|4	2|4
chr6	45260000	54401000	2|3	2|3
chr6	54401000	54883000	2|3	2|2
chr6	54883000	55381000	1|3	1|2
chr6	55381000	61511000	1|3	1|3
chr6	61511000	67791000	1|2	1|2
chr6	67791000	78580000	2|2	2|2
chr6	78580000	86001000	2|3	2|3
chr6	86001000	97435000	3|3	3|3
chr6	97435000	110152000	2|3	2|3
chr6	110152000	114511000	2|3	2|4
chr6	114511000	115074000	2|3	2|3
chr6	115074000	119960000	2|3	2|2
chr6	119960000	120967000	3|3	3|2
chr6	120967000	123947000	2|3	2|2
chr6	123947000	124397000	2|3	2|3
chr6	124397000	126061000	2|3	2|4
chr6	126061000	130085000	2|3	2|3
chr6	130085000	138197000	2|2	2|2
chr6	138197000	138229000	1|2	1|2
chr6	138229000	138965000	1|3	1|3
chr6	138965000	139219000	2|3	2|3
chr6	139219000	140246000	3|3	3|3
chr6	140246000	141251000	6|3	6|3
chr6	141251000	141579000	3|3	3|3
chr6	141579000	142574000	3|3	3|2
chr6	142574000	146542000	3|3	3|3
chr6	146542000	154599000	2|3	2|3
chr6	154599000	157041000	2|4	2|4
chr6	157041000	169045000	2|3	2|3
chr6	169045000	171115067	2|3	2|2
chr7	0	5518000	2|2	2|2
chr7	5518000	6929000	2|2	1|2
chr7	6929000	8888000	2|2	2|2
chr7	8888000	24530000	2|2	2|3
chr7	24530000	26725000	3|2	3|3
chr7	26725000	46111000	2|2	2|3
chr7	46111000	47752000	2|2	2|4
chr7	47752000	48756000	2|2	2|5
chr7	48756000	60813000	2|2	2|4
chr7	60813000	61195000	2|1	2|3
chr7	61195000	62393000	2|1	2|2
chr7	62393000	63397000	2|2	2|4
chr7	63397000	77714000	2|1	2|2
chr7	77714000	78594000	2|1	3|2
chr7	78594000	80034000	2|2	3|3
chr7	80034000	80603000	3|2	4|3
chr7	80603000	81027000	3|2	3|3
chr7	81027000	84011000	2|2	2|3
chr7	84011000	88524000	2|2	3|3
chr7	88524000	89189000	2|2	2|3
chr7	89189000	103867000	2|4	2|6
chr7	103867000	109895000	2|2	2|3
chr7	109895000	112374000	2|2	2|2
chr7	112374000	116839000	2|2	2|3
chr7	116839000	117551000	2|2	2|2
chr7	117551000	118560000	2|1	2|1
chr7	118560000	118834000	2|2	2|2
chr7	118834000	119082000	2|2	2|3
chr7	119082000	120088000	2|2	2|4
chr7	120088000	121460000	2|2	2|3
chr7	121460000	124140000	2|2	3|3
chr7	124140000	144455000	2|2	2|3
chr7	144455000	145444000	2|2	2|4
chr7	145444000	159138663	2|2	2|3
chr8	0	5775000	2|2	2|2
chr8	5775000	6784000	0|2	0|2
chr8	6784000	6945000	2|2	2|2
chr8	6945000	10126000	2|3	2|3
chr8	10126000	25943000	2|2	2|2
chr8	25943000	26956000	2|1	2|1
chr8	26956000	29793000	2|2	2|2
chr8	29793000	30797000	2|2	2|3
chr8	30797000	37688000	2|2	2|2
chr8	37688000	45185000	3|2	3|2
chr8	45185000	46200000	3|2	4|2
chr8	46200000	46769000	3|2	3|2
chr8	46769000	47764000	4|2	4|2
chr8	47764000	63357000	3|2	3|2
chr8	63357000	64013000	2|2	2|2
chr8	64013000	65021000	2|1	2|1
chr8	65021000	121381000	2|2	2|2
chr8	121381000	121691000	2|2	2|3
chr8	121691000	122376000	2|2	2|2
chr8	122376000	132002000	2|2	2|1
chr8	132002000	146364022	2|2	2|2
chr9	0	5980000	2|2	2|2
chr9	5980000	6980000	2|2	2|3
chr9	6980000	22530000	2|2	2|2
chr9	22530000	23511000	2|2	3|2
chr9	23511000	23539000	3|2	4|2
chr9	23539000	26317000	3|2	3|2
chr9	26317000	32577000	2|2	2|2
chr9	32577000	44713000	2|2	1|2
chr9	44713000	47191000	2|2	2|2
chr9	47191000	50973000	0|2	0|2
chr9	50973000	54801000	2|2	2|2
chr9	54801000	54828000	2|2	2|3
chr9	54828000	57658000	2|2	2|4
chr9	57658000	64479000	2|2	2|3
chr9	64479000	70023000	2|2	2|2
chr9	70023000	71021000	2|2	3|2
chr9	71021000	88789000	2|2	2|2
chr9	88789000	89696000	0|2	0|2
chr9	89696000	89778000	0|2	0|1
chr9	89778000	90700000	2|2	2|1
chr9	90700000	93622000	2|2	2|2
chr9	93622000	93941000	2|2	2|1
chr9	93941000	96007000	2|3	2|2
chr9	96007000	103986000	2|2	2|1
chr9	103986000	112237000	2|1	2|1
chr9	112237000	112556000	2|1	2|0
chr9	112556000	114075000	2|2	2|0
chr9	114075000	115044000	2|2	2|1
chr9	115044000	116163000	2|2	2|0
chr9	116163000	119065000	2|2	2|1
chr9	119065000	120078000	2|1	2|1
chr9	120078000	125912000	2|2	2|1
chr9	125912000	141213431	2|2	2|2
chr10	0	2727000	2|2	2|2
chr10	2727000	3725000	2|2	3|2
chr10	3725000	38478000	2|2	2|2
chr10	38478000	39470000	2|1	2|1
chr10	39470000	50245000	2|2	2|2
chr10	50245000	50443000	2|2	2|3
chr10	50443000	60096000	2|1	2|1
chr10	60096000	68923000	2|2	2|3
chr10	68923000	70763000	2|2	2|2
chr10	70763000	71757000	0|2	0|2
chr10	71757000	91367000	2|2	2|2
chr10	91367000	94740000	2|4	2|4
chr10	94740000	94756000	2|4	2|5
chr10	94756000	102675000	2|2	2|3
chr10	102675000	105264000	2|2	1|3
chr10	105264000	109402000	2|2	2|3
chr10	109402000	117607000	2|2	2|2
chr10	117607000	125670000	4|2	4|2
chr10	125670000	135534747	2|2	2|2
chr11	0	3291000	2|2	2|2
chr11	3291000	4301000	1|2	1|2
chr11	4301000	11320000	2|2	2|2
chr11	11320000	14182000	2|2	2|3
chr11	14182000	14816000	2|2	2|2
chr11	14816000	19079000	2|4	2|4
chr11	19079000	21915000	3|4	3|4
chr11	21915000	22915000	3|4	3|3
chr11	22915000	23119000	3|4	3|4
chr11	23119000	24938000	3|8	3|8
chr11	24938000	26497000	3|8	4|8
chr11	26497000	27817000	2|8	3|8
chr11	27817000	28769000	2|8	2|8
chr11	28769000	33488000	2|6	2|6
chr11	33488000	34863000	2|2	2|2
chr11	34863000	35081000	3|2	3|2
chr11	35081000	36076000	4|2	4|2
chr11	36076000	36092000	3|2	3|2
chr11	36092000	37594000	3|4	3|4
chr11	37594000	38254000	2|4	2|4
chr11	38254000	42411000	2|2	2|2
chr11	42411000	45441000	2|2	2|3
chr11	45441000	54906000	2|2	2|2
chr11	54906000	57912000	2|1	2|1
chr11	57912000	67181000	2|2	2|2
chr11	67181000	70327000	2|2	2|1
chr11	70327000	93330000	2|2	2|2
chr11	93330000	96313000	2|2	2|3
chr11	96313000	120606000	2|2	2|2
chr11	120606000	121600000	2|2	2|3
chr11	121600000	121677000	2|2	2|2
chr11	121677000	122678000	3|2	3|2
chr11	122678000	124287000	2|2	2|2
chr11	124287000	126523000	2|2	2|3
chr11	126523000	133006000	2|2	2|2
chr11	133006000	134027000	0|2	0|2
chr11	134027000	135006516	2|2	2|2
chr12	0	7803000	2|2	3|2
chr12	7803000	8807000	2|1	3|1
chr12	8807000	99193000	2|2	3|2
chr12	99193000	100528000	2|2	3|1
chr12	100528000	101075000	2|2	2|1
chr12	101075000	102603000	2|2	2|2
chr12	102603000	107526000	2|2	3|2
chr12	107526000	108520000	2|2	4|2
chr12	108520000	115483000	2|2	3|2
chr12	115483000	116484000	2|2	3|3
chr12	116484000	133354000	2|2	3|2
chr12	133354000	133851895	2|2	4|2
chr13	0	1000	4|2	4|2
chr13	1000	1453000	3|2	3|2
chr13	1453000	3524000	3|3	3|3
chr13	3524000	4533000	3|3	4|3
chr13	4533000	13093000	3|3	3|3
chr13	13093000	44076000	3|2	3|2
chr13	44076000	45072000	3|2	4|2
chr13	45072000	46853000	3|2	3|2
chr13	46853000	66725000	3|2	2|2
chr13	66725000	69000000	3|2	3|2
chr13	69000000	73450000	3|2	4|2
chr13	73450000	75886000	4|2	5|2
chr13	75886000	76149000	4|2	5|1
chr13	76149000	76865000	3|2	4|1
chr13	76865000	86833000	3|2	4|2
chr13	86833000	96902000	3|2	3|2
chr13	96902000	103871000	3|2	3|1
chr13	103871000	115169878	3|2	3|2
chr14	0	4314000	2|2	1|2
chr14	4314000	7044000	3|2	2|2
chr14	7044000	9273000	2|2	1|2
chr14	9273000	11308000	0|2	0|2
chr14	11308000	14609000	0|2	0|1
chr14	14609000	21554000	0|2	0|2
chr14	21554000	28459000	2|2	1|2
chr14	28459000	29249000	2|2	2|2
chr14	29249000	30241000	1|2	1|2
chr14	30241000	37425000	2|2	2|2
chr14	37425000	39087000	2|2	3|2
chr14	39087000	48808000	2|2	3|3
chr14	48808000	54075000	2|2	2|3
chr14	54075000	61332000	2|2	2|2
chr14	61332000	61558000	2|2	2|1
chr14	61558000	61865000	2|3	2|2
chr14	61865000	62555000	2|3	2|3
chr14	62555000	71586000	2|2	2|2
chr14	71586000	72805000	2|0	2|0
chr14	72805000	73332000	3|0	3|0
chr14	73332000	75292000	1|0	1|0
chr14	75292000	78814000	3|0	3|0
chr14	78814000	82377000	2|0	2|0
chr14	82377000	83887000	3|0	3|0
chr14	83887000	90336000	2|0	2|0
chr14	90336000	96923000	2|0	1|0
chr14	96923000	98956000	1|0	1|0
chr14	98956000	106407000	1|2	1|2
chr14	106407000	107349540	2|2	1|2
chr15	0	675000	2|3	2|3
chr15	675000	22679000	2|2	2|2
chr15	22679000	26144000	2|2	1|2
chr15	26144000	26386000	2|3	1|3
chr15	26386000	31468000	2|3	2|3
chr15	31468000	34148000	2|0	2|0
chr15	34148000	37508000	2|3	2|3
chr15	37508000	39761000	2|2	2|2
chr15	39761000	42602000	2|2	1|2
chr15	42602000	46004000	2|2	2|2
chr15	46004000	47010000	2|1	2|1
chr15	47010000	59997000	2|2	2|2
chr15	59997000	69051000	2|2	2|1
chr15	69051000	71426000	2|2	2|2
chr15	71426000	72418000	2|2	2|1
chr15	72418000	86467000	2|2	2|2
chr15	86467000	87477000	2|2	2|1
chr15	87477000	92156000	2|2	2|2
chr15	92156000	95581000	2|2	3|2
chr15	95581000	100580000	2|2	2|2
chr15	100580000	102531392	2|3	2|3
chr16	0	2434000	2|2	2|3
chr16	2434000	12266000	2|2	2|2
chr16	12266000	13258000	2|1	2|1
chr16	13258000	18071000	2|2	2|2
chr16	18071000	37048000	1|2	1|2
chr16	37048000	40074000	2|2	2|2
chr16	40074000	43129000	2|2	3|2
chr16	43129000	51217000	3|2	4|2
chr16	51217000	54538000	3|2	3|2
chr16	54538000	55546000	4|2	4|2
chr16	55546000	61791000	3|2	3|2
chr16	61791000	62597000	2|2	2|2
chr16	62597000	65003000	1|2	1|2
chr16	65003000	80442000	2|2	2|2
chr16	80442000	81454000	2|3	2|3
chr16	81454000	83803000	2|2	2|2
chr16	83803000	90354753	2|2	2|3
chr17	0	474000	2|2	2|2
chr17	474000	21023000	2|2	2|1
chr17	21023000	43325000	2|2	2|2
chr17	43325000	46671000	1|2	1|2
chr17	46671000	75727000	2|2	2|2
chr17	75727000	78972000	2|1	2|1
chr17	78972000	81195210	2|2	2|2
chr18	0	1731000	2|2	2|0
chr18	1731000	2730000	2|3	2|0
chr18	2730000	17982000	2|2	2|0
chr18	17982000	20446000	2|2	1|0
chr18	20446000	38137000	2|2	2|0
chr18	38137000	39124000	3|2	3|0
chr18	39124000	48469000	2|2	2|0
chr18	48469000	49463000	3|2	3|0
chr18	49463000	58921000	2|2	2|0
chr18	58921000	61361000	2|2	3|0
chr18	61361000	61886000	2|2	2|0
chr18	61886000	65397000	2|2	1|0
chr18	65397000	78077248	2|2	2|0
chr20	0	38951000	2|2	2|0
chr20	38951000	42107000	4|2	4|0
chr20	42107000	63025520	2|2	2|0
chr19	0	20850000	2|2	2|2
chr19	20850000	21845000	1|2	1|2
chr19	21845000	36972000	2|2	2|2
chr19	36972000	37983000	4|2	4|2
chr19	37983000	47521000	2|2	2|2
chr19	47521000	48525000	2|2	2|3
chr19	48525000	59128983	2|2	2|2
chr22	0	526000	2|2	1|2
chr22	526000	3601000	3|2	2|2
chr22	3601000	49767000	2|2	1|2
chr22	49767000	51304566	2|2	0|2
chr21	0	3723000	2|2	2|2
chr21	3723000	6951000	2|3	2|3
chr21	6951000	26696000	2|2	2|2
chr21	26696000	29761000	2|2	3|2
chr21	29761000	48129895	2|2	2|2
