#CHR	START	END	clone0	clone1
chr7	141456000	143557000	4|2	5|2
chr7	143557000	148211000	4|2	4|2
chr7	148211000	151063000	4|2	4|1
chr7	151063000	151857000	4|2	4|2
chr7	151857000	154755000	2|2	2|2
chr7	154755000	155021000	2|2	2|3
chr7	155021000	157966000	0|2	0|3
chr7	157966000	159138663	2|2	2|3
chr8	0	123740000	2|2	2|2
chr8	123740000	123785000	2|4	2|4
chr8	123785000	124653000	2|4	2|5
chr8	124653000	132671000	2|0	2|0
chr8	132671000	132758000	2|4	2|5
chr8	132758000	134775000	2|2	2|3
chr8	134775000	137406000	2|2	2|2
chr8	137406000	138403000	1|2	1|2
chr8	138403000	146364022	2|2	2|2
chr9	0	15905000	2|2	2|2
chr9	15905000	17840000	2|0	2|0
chr9	17840000	21338000	2|2	2|2
chr9	21338000	32311000	2|2	2|3
chr9	32311000	37437000	2|2	2|2
chr9	37437000	38433000	2|2	2|3
chr9	38433000	49491000	2|2	2|2
chr9	49491000	50490000	2|2	2|3
chr9	50490000	52304000	2|2	2|2
chr9	52304000	71155000	2|2	3|2
chr9	71155000	96456000	2|2	2|2
chr9	96456000	97468000	2|2	2|3
chr9	97468000	112074000	2|2	2|2
chr9	112074000	115033000	2|0	2|0
chr9	115033000	116712000	2|2	2|2
chr9	116712000	117719000	2|0	2|0
chr9	117719000	141213431	2|2	2|2
chr10	0	785000	2|2	2|1
chr10	785000	4711000	2|2	2|2
chr10	4711000	16654000	2|2	2|1
chr10	16654000	17660000	0|2	0|1
chr10	17660000	37966000	2|2	2|1
chr10	37966000	40695000	2|4	2|2
chr10	40695000	44992000	2|2	2|1
chr10	44992000	46023000	2|4	2|2
chr10	46023000	46715000	2|2	2|1
chr10	46715000	47716000	2|2	2|0
chr10	47716000	54186000	2|2	2|1
chr10	54186000	55200000	2|0	2|0
chr10	55200000	55636000	2|2	2|1
chr10	55636000	61432000	2|4	2|2
chr10	61432000	67237000	0|4	0|2
chr10	67237000	71236000	0|2	0|1
chr10	71236000	74330000	0|4	0|2
chr10	74330000	79410000	0|2	0|1
chr10	79410000	126757000	2|2	2|1
chr10	126757000	129252000	2|2	1|1
chr10	129252000	135035000	2|2	2|1
chr10	135035000	135534747	2|2	2|2
chr11	0	322000	2|2	4|0
chr11	322000	9413000	2|2	3|0
chr11	9413000	10431000	2|2	1|0
chr11	10431000	43578000	2|2	3|0
chr11	43578000	53772000	2|2	1|0
chr11	53772000	97388000	2|2	3|0
chr11	97388000	100860000	2|4	3|0
chr11	100860000	117529000	2|2	3|0
chr11	117529000	119195000	2|0	3|0
chr11	119195000	119798000	2|0	5|0
chr11	119798000	129765000	2|2	5|0
chr11	129765000	135006516	2|2	3|0
chr12	0	5693000	2|2	2|2
chr12	5693000	6695000	2|2	2|1
chr12	6695000	8600000	2|2	2|2
chr12	8600000	9597000	2|2	3|2
chr12	9597000	37711000	2|2	2|2
chr12	37711000	46559000	2|0	2|0
chr12	46559000	66426000	2|2	2|2
chr12	66426000	133851895	0|2	0|2
chr13	0	74788000	2|2	2|2
chr13	74788000	75793000	2|4	2|4
chr13	75793000	103474000	2|2	2|2
chr13	103474000	104465000	2|2	1|2
chr13	104465000	106422000	2|2	2|2
chr13	106422000	109817000	2|0	2|0
chr13	109817000	115169878	2|2	2|2
chr14	0	46743000	2|2	2|2
chr14	46743000	47746000	4|2	4|2
chr14	47746000	53046000	2|2	2|2
chr14	53046000	53354000	2|2	2|1
chr14	53354000	54058000	2|4	2|3
chr14	54058000	56828000	2|4	2|4
chr14	56828000	57469000	2|2	2|2
chr14	57469000	60647000	2|0	2|0
chr14	60647000	107349540	2|2	2|2
chr15	0	50054000	2|0	2|0
chr15	50054000	50541000	2|2	2|2
chr15	50541000	51552000	2|2	1|2
chr15	51552000	73349000	2|2	2|2
chr15	73349000	75734000	2|0	2|0
chr15	75734000	75773000	4|0	4|0
chr15	75773000	78198000	4|2	4|2
chr15	78198000	102531392	2|2	2|2
chr16	0	57255000	2|0	2|0
chr16	57255000	60662000	4|0	4|0
chr16	60662000	79778000	2|0	2|0
chr16	79778000	83504000	0|0	0|0
chr16	83504000	90354753	2|0	2|0
chr17	0	1000	0|2	0|0
chr17	1000	81195210	0|2	0|1
chr18	0	2673000	2|2	2|2
chr18	2673000	3684000	0|2	0|2
chr18	3684000	34705000	2|2	2|2
chr18	34705000	37576000	2|2	3|2
chr18	37576000	38550000	2|2	2|2
chr18	38550000	39534000	4|2	4|2
chr18	39534000	50348000	2|2	2|2
chr18	50348000	51370000	1|2	1|2
chr18	51370000	54475000	2|2	2|2
chr18	54475000	55415000	2|1	2|1
chr18	55415000	63793000	0|1	0|1
chr18	63793000	64009000	0|2	0|2
chr18	64009000	78077248	2|2	2|2
chr20	0	736000	2|2	2|2
chr20	736000	1737000	2|2	3|2
chr20	1737000	31512000	2|2	2|2
chr20	31512000	52288000	0|2	0|2
chr20	52288000	62050000	0|0	0|0
chr20	62050000	63025520	0|2	0|2
chr19	0	10558000	2|2	1|2
chr19	10558000	10949000	2|2	1|1
chr19	10949000	13608000	2|2	2|1
chr19	13608000	42468000	2|2	2|2
chr19	42468000	44718000	2|2	1|2
chr19	44718000	47272000	2|2	1|1
chr19	47272000	59128983	2|2	1|2
chr22	0	4222000	4|2	4|2
chr22	4222000	7216000	4|2	3|2
chr22	7216000	17858000	4|2	4|2
chr22	17858000	20405000	5|2	5|2
chr22	20405000	26897000	4|2	4|2
chr22	26897000	39983000	2|2	2|2
chr22	39983000	40971000	2|4	2|4
chr22	40971000	41006000	2|2	2|2
chr22	41006000	43495000	4|2	4|2
chr22	43495000	51304566	2|2	2|2
chr21	0	10409000	2|2	2|2
chr21	10409000	12213000	2|2	2|1
chr21	12213000	21788000	2|2	2|2
chr21	21788000	25358000	2|2	2|1
chr21	25358000	48129895	2|2	2|2
