#CHR	START	END	clone0	clone1
chr3	169501000	172518000	1|2	2|3
chr3	172518000	175775000	1|2	2|2
chr3	175775000	198022430	1|2	1|2
chr4	0	23431000	2|2	2|2
chr4	23431000	24434000	2|2	1|2
chr4	24434000	25092000	2|2	2|2
chr4	25092000	27639000	3|2	3|2
chr4	27639000	28018000	5|2	5|2
chr4	28018000	30506000	4|2	4|2
chr4	30506000	33742000	2|2	2|2
chr4	33742000	35003000	2|3	2|3
chr4	35003000	36007000	2|3	1|3
chr4	36007000	37006000	2|3	2|3
chr4	37006000	37783000	2|2	2|2
chr4	37783000	40548000	2|1	2|1
chr4	40548000	40740000	2|2	2|2
chr4	40740000	51498000	2|2	3|2
chr4	51498000	54142000	2|1	3|1
chr4	54142000	55837000	2|2	3|2
chr4	55837000	56827000	2|1	3|1
chr4	56827000	58453000	2|2	3|2
chr4	58453000	83325000	2|2	2|2
chr4	83325000	85130000	2|1	2|1
chr4	85130000	93126000	2|1	2|0
chr4	93126000	104901000	2|2	2|1
chr4	104901000	106353000	2|2	2|2
chr4	106353000	107283000	2|2	2|1
chr4	107283000	107347000	2|1	2|0
chr4	107347000	116256000	2|1	2|1
chr4	116256000	118903000	1|1	1|1
chr4	118903000	125898000	2|1	2|1
chr4	125898000	129134000	2|2	2|2
chr4	129134000	130106000	2|2	3|2
chr4	130106000	135282000	2|2	2|2
chr4	135282000	147832000	2|1	2|1
chr4	147832000	161658000	2|2	2|2
chr4	161658000	173444000	2|3	2|3
chr4	173444000	178469000	2|2	2|2
chr4	178469000	186570000	2|1	2|1
chr4	186570000	187935000	2|2	2|2
chr4	187935000	190914000	2|2	3|2
chr4	190914000	191154276	2|2	2|2
chr5	0	2908000	2|2	4|2
chr5	2908000	6903000	2|2	4|3
chr5	6903000	11793000	2|2	4|2
chr5	11793000	21099000	2|2	3|2
chr5	21099000	24791000	2|1	3|1
chr5	24791000	24872000	2|2	3|2
chr5	24872000	27733000	1|2	1|2
chr5	27733000	28441000	2|2	2|2
chr5	28441000	29448000	2|3	2|3
chr5	29448000	31915000	2|2	2|2
chr5	31915000	37694000	1|2	1|2
chr5	37694000	40436000	1|3	1|3
chr5	40436000	42544000	1|2	1|2
chr5	42544000	77592000	2|2	3|2
chr5	77592000	78368000	2|2	5|2
chr5	78368000	78597000	2|2	7|2
chr5	78597000	85581000	2|2	5|2
chr5	85581000	145439000	2|2	3|2
chr5	145439000	155388000	1|2	1|2
chr5	155388000	174917000	2|2	3|2
chr5	174917000	175909000	2|2	3|3
chr5	175909000	180915260	2|2	3|2
chr6	0	43592000	2|2	2|2
chr6	43592000	44228000	2|2	2|1
chr6	44228000	44829000	2|2	2|2
chr6	44829000	45229000	2|3	2|3
chr6	45229000	46710000	2|3	2|2
chr6	46710000	47160000	2|3	2|3
chr6	47160000	60866000	2|2	2|2
chr6	60866000	73114000	2|1	2|1
chr6	73114000	114238000	2|2	2|2
chr6	114238000	123678000	2|2	3|2
chr6	123678000	124536000	2|2	2|2
chr6	124536000	124671000	2|2	1|2
chr6	124671000	144335000	2|2	2|2
chr6	144335000	145324000	2|2	1|2
chr6	145324000	147524000	2|2	2|2
chr6	147524000	148525000	3|2	3|2
chr6	148525000	151950000	2|2	2|2
chr6	151950000	152961000	2|2	2|3
chr6	152961000	156114000	2|2	2|2
chr6	156114000	159727000	2|3	2|3
chr6	159727000	171115067	2|2	2|2
chr7	0	1000	2|4	3|4
chr7	1000	11067000	2|3	3|3
chr7	11067000	22001000	2|3	3|4
chr7	22001000	39940000	2|3	3|3
chr7	39940000	42510000	2|0	3|0
chr7	42510000	76649000	2|3	3|3
chr7	76649000	82397000	2|3	5|3
chr7	82397000	85189000	1|3	4|3
chr7	85189000	85283000	2|3	5|3
chr7	85283000	86242000	2|3	3|3
chr7	86242000	87504000	3|3	4|3
chr7	87504000	107031000	2|3	3|3
chr7	107031000	108841000	2|3	5|3
chr7	108841000	110368000	2|6	5|6
chr7	110368000	111374000	2|5	5|5
chr7	111374000	113805000	2|6	5|6
chr7	113805000	114636000	2|6	3|6
chr7	114636000	115618000	2|7	3|7
chr7	115618000	117571000	2|6	3|6
chr7	117571000	148459000	2|3	3|3
chr7	148459000	149691000	2|3	3|4
chr7	149691000	150670000	2|3	3|3
chr7	150670000	150697000	2|3	2|3
chr7	150697000	156176000	2|3	2|4
chr7	156176000	159138663	2|3	2|3
chr8	0	7326000	2|1	2|1
chr8	7326000	7536000	1|1	1|1
chr8	7536000	10945000	1|2	1|2
chr8	10945000	17882000	2|2	2|2
chr8	17882000	20856000	1|2	1|2
chr8	20856000	44420000	2|2	2|2
chr8	44420000	45431000	2|2	2|1
chr8	45431000	61796000	2|2	2|2
chr8	61796000	62798000	2|1	2|1
chr8	62798000	93327000	2|2	2|2
chr8	93327000	95000000	2|2	2|1
chr8	95000000	98343000	2|3	2|2
chr8	98343000	99327000	2|3	1|2
chr8	99327000	103172000	2|2	1|1
chr8	103172000	122448000	2|2	1|2
chr8	122448000	126539000	2|2	2|2
chr8	126539000	130058000	0|2	0|2
chr8	130058000	135913000	0|2	0|1
chr8	135913000	136103000	0|3	0|1
chr8	136103000	137604000	0|3	0|2
chr8	137604000	139553000	0|2	0|1
chr8	139553000	143644000	0|1	0|1
chr8	143644000	146364022	2|1	2|1
chr9	0	1488000	2|2	2|2
chr9	1488000	14074000	2|2	2|3
chr9	14074000	21583000	1|2	1|3
chr9	21583000	64187000	2|2	2|3
chr9	64187000	65190000	2|2	3|3
chr9	65190000	72377000	2|2	2|3
chr9	72377000	73363000	2|2	2|5
chr9	73363000	81649000	2|2	2|3
chr9	81649000	82649000	2|1	2|2
chr9	82649000	98464000	2|2	2|3
chr9	98464000	101544000	2|4	2|6
chr9	101544000	105413000	2|2	2|3
chr9	105413000	106404000	2|2	2|5
chr9	106404000	121601000	2|2	2|3
chr9	121601000	122598000	2|2	3|3
chr9	122598000	141213431	2|2	2|3
chr10	0	48092000	2|2	2|2
chr10	48092000	49110000	2|2	2|1
chr10	49110000	52337000	2|2	2|2
chr10	52337000	53326000	2|2	2|3
chr10	53326000	64504000	2|2	2|2
chr10	64504000	76797000	1|2	1|2
chr10	76797000	78409000	2|2	2|2
chr10	78409000	79398000	2|2	2|1
chr10	79398000	97209000	2|2	2|2
chr10	97209000	104144000	2|1	2|1
chr10	104144000	135534747	2|2	2|2
chr11	0	27067000	2|2	3|2
chr11	27067000	30990000	1|2	1|2
chr11	30990000	37892000	2|2	3|2
chr11	37892000	49984000	3|2	4|2
chr11	49984000	50323000	3|1	4|1
chr11	50323000	60873000	2|1	3|1
chr11	60873000	71322000	2|2	3|2
chr11	71322000	76803000	2|1	3|1
chr11	76803000	81574000	2|1	5|1
chr11	81574000	82702000	2|2	5|2
chr11	82702000	83716000	2|2	3|2
chr11	83716000	84162000	2|2	5|2
chr11	84162000	89848000	2|2	3|2
chr11	89848000	90835000	2|2	4|2
chr11	90835000	94512000	2|2	3|2
chr11	94512000	97922000	2|3	3|3
chr11	97922000	107673000	2|2	3|2
chr11	107673000	116117000	2|2	3|3
chr11	116117000	117761000	2|5	3|7
chr11	117761000	118477000	2|6	3|7
chr11	118477000	118547000	2|6	3|8
chr11	118547000	119854000	2|3	3|4
chr11	119854000	127233000	2|3	3|3
chr11	127233000	127520000	2|3	3|2
chr11	127520000	129508000	2|2	3|2
chr11	129508000	135006516	2|2	4|2
chr12	0	2177000	2|3	2|2
chr12	2177000	4123000	2|3	3|2
chr12	4123000	20821000	2|3	2|2
chr12	20821000	21837000	2|3	2|3
chr12	21837000	33485000	2|3	2|2
chr12	33485000	34489000	2|3	1|2
chr12	34489000	46117000	2|3	2|2
chr12	46117000	49057000	2|3	2|3
chr12	49057000	62362000	2|3	2|2
chr12	62362000	67292000	2|3	2|1
chr12	67292000	70227000	2|2	2|1
chr12	70227000	74643000	2|3	2|1
chr12	74643000	77773000	3|3	3|1
chr12	77773000	78570000	2|3	2|1
chr12	78570000	81945000	2|3	3|1
chr12	81945000	86133000	2|3	2|1
chr12	86133000	89466000	2|2	2|1
chr12	89466000	91867000	2|3	2|1
chr12	91867000	92862000	2|3	3|1
chr12	92862000	99861000	2|3	2|1
chr12	99861000	100110000	2|4	2|1
chr12	100110000	101100000	2|3	2|0
chr12	101100000	102814000	2|4	2|1
chr12	102814000	104235000	2|3	2|1
chr12	104235000	105245000	2|4	2|2
chr12	105245000	105811000	2|3	2|1
chr12	105811000	108642000	2|3	3|1
chr12	108642000	133662000	2|3	2|1
chr12	133662000	133851895	2|2	2|0
chr13	0	4719000	2|2	0|2
chr13	4719000	21597000	2|2	1|2
chr13	21597000	25932000	2|3	1|3
chr13	25932000	31360000	1|3	0|3
chr13	31360000	35952000	1|2	0|2
chr13	35952000	40292000	2|2	1|2
chr13	40292000	41305000	2|2	0|2
chr13	41305000	95181000	2|2	1|2
chr13	95181000	104579000	3|2	2|2
chr13	104579000	105529000	2|2	1|2
chr13	105529000	109270000	2|3	1|3
chr13	109270000	111176000	2|2	1|2
chr13	111176000	112195000	2|2	1|1
chr13	112195000	115169878	2|2	1|2
chr14	0	27313000	0|2	0|2
chr14	27313000	28316000	0|2	0|1
chr14	28316000	35983000	0|2	0|2
chr14	35983000	39526000	0|2	0|1
chr14	39526000	52726000	0|2	0|2
chr14	52726000	56454000	0|2	0|3
chr14	56454000	62852000	0|2	0|2
chr14	62852000	66011000	0|1	0|1
chr14	66011000	66292000	0|2	0|2
chr14	66292000	72606000	0|3	0|3
chr14	72606000	74559000	0|2	0|2
chr14	74559000	75572000	0|1	0|1
chr14	75572000	95023000	0|2	0|2
chr14	95023000	96033000	0|2	0|3
chr14	96033000	107349540	0|2	0|2
chr15	0	5733000	2|2	0|2
chr15	5733000	15600000	2|2	1|2
chr15	15600000	16615000	2|2	1|3
chr15	16615000	33846000	2|2	1|2
chr15	33846000	45310000	1|2	1|2
chr15	45310000	48143000	2|2	1|2
chr15	48143000	49161000	2|2	1|1
chr15	49161000	62660000	2|2	1|2
chr15	62660000	63652000	2|2	1|3
chr15	63652000	73934000	2|2	1|2
chr15	73934000	74955000	2|2	1|3
chr15	74955000	76392000	2|2	1|2
chr15	76392000	77403000	2|3	1|3
chr15	77403000	94907000	2|2	1|2
chr15	94907000	98031000	2|2	2|2
chr15	98031000	102531392	2|2	1|2
chr16	0	6536000	2|2	2|3
chr16	6536000	10059000	2|2	2|2
chr16	10059000	11063000	2|2	3|2
chr16	11063000	20304000	2|2	2|2
chr16	20304000	22831000	1|2	1|2
chr16	22831000	23285000	2|2	2|2
chr16	23285000	26520000	3|2	3|2
chr16	26520000	30013000	2|2	2|2
chr16	30013000	30302000	2|2	2|1
chr16	30302000	30999000	1|2	1|1
chr16	30999000	32081000	1|2	1|2
chr16	32081000	34164000	2|2	2|2
chr16	34164000	35152000	2|3	2|3
chr16	35152000	89245000	2|2	2|2
chr16	89245000	90354753	2|2	2|3
chr17	0	910000	2|2	3|2
chr17	910000	31596000	2|2	2|2
chr17	31596000	45096000	2|1	2|1
chr17	45096000	64831000	2|2	2|2
chr17	64831000	71064000	2|4	2|4
chr17	71064000	81112000	2|2	2|2
chr17	81112000	81195210	2|2	3|2
chr18	0	7971000	2|2	0|2
chr18	7971000	17620000	1|2	0|2
chr18	17620000	18896000	2|2	0|2
chr18	18896000	19908000	2|2	0|3
chr18	19908000	22978000	2|2	0|2
chr18	22978000	26505000	2|3	0|3
chr18	26505000	78077248	2|2	0|2
chr20	0	1374000	2|2	2|2
chr20	1374000	4634000	2|1	2|1
chr20	4634000	16456000	2|2	2|2
chr20	16456000	20347000	1|2	1|2
chr20	20347000	49008000	2|2	2|2
chr20	49008000	56713000	1|2	1|2
chr20	56713000	60109000	0|2	0|2
chr20	60109000	61785000	1|2	1|2
chr20	61785000	63025520	2|2	2|2
chr19	0	21020000	2|2	2|0
chr19	21020000	22016000	2|3	2|0
chr19	22016000	22663000	2|2	2|0
chr19	22663000	30854000	2|3	2|0
chr19	30854000	59128983	2|2	2|0
chr22	0	10145000	0|3	0|5
chr22	10145000	12487000	0|3	0|4
chr22	12487000	15419000	0|2	0|3
chr22	15419000	16413000	0|2	0|2
chr22	16413000	21125000	0|2	0|3
chr22	21125000	22103000	0|2	0|2
chr22	22103000	31055000	0|2	0|3
chr22	31055000	32050000	0|2	0|4
chr22	32050000	43503000	0|2	0|3
chr22	43503000	51304566	0|3	0|4
chr21	0	5367000	2|2	2|0
chr21	5367000	9618000	2|0	2|0
chr21	9618000	22416000	3|0	3|0
chr21	22416000	26515000	2|0	2|0
chr21	26515000	27136000	3|0	3|0
chr21	27136000	27486000	3|2	3|0
chr21	27486000	48129895	2|2	2|0
